year,quintil_oecd_hh,sampreg,pet_dog,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1996,1st Quintile,West,Yes,0.08591,71,970,0.06827,0.10355
1996,1st Quintile,West,No,0.91409,899,970,0.89645,0.93173
1996,1st Quintile,East,Yes,0.12416,68,441,0.09335,0.15497
1996,1st Quintile,East,No,0.87584,373,441,0.84503,0.90665
1996,2nd Quintile,West,Yes,0.09088,84,903,0.07212,0.10963
1996,2nd Quintile,West,No,0.90912,819,903,0.89037,0.92788
1996,2nd Quintile,East,Yes,0.14979,80,498,0.11841,0.18116
1996,2nd Quintile,East,No,0.85021,418,498,0.81884,0.88159
1996,3rd Quintile,West,Yes,0.11513,100,948,0.09480,0.13546
1996,3rd Quintile,West,No,0.88487,848,948,0.86454,0.90520
1996,3rd Quintile,East,Yes,0.17285,85,446,0.13771,0.20798
1996,3rd Quintile,East,No,0.82715,361,446,0.79202,0.86229
1996,4th Quintile,West,Yes,0.10987,110,1005,0.09052,0.12921
1996,4th Quintile,West,No,0.89013,895,1005,0.87079,0.90948
1996,4th Quintile,East,Yes,0.15855,48,293,0.11666,0.20045
1996,4th Quintile,East,No,0.84145,245,293,0.79955,0.88334
1996,5th Quintile,West,Yes,0.13935,136,962,0.11746,0.16125
1996,5th Quintile,West,No,0.86065,826,962,0.83875,0.88254
1996,5th Quintile,East,No,0.90627,139,139,0.85765,0.95490
2001,1st Quintile,West,Yes,0.08958,153,1548,0.07535,0.10381
2001,1st Quintile,West,No,0.91042,1395,1548,0.89619,0.92465
2001,1st Quintile,East,Yes,0.13062,108,683,0.10533,0.15591
2001,1st Quintile,East,No,0.86938,575,683,0.84409,0.89467
2001,2nd Quintile,West,Yes,0.11389,201,1674,0.09866,0.12911
2001,2nd Quintile,West,No,0.88611,1473,1674,0.87089,0.90134
2001,2nd Quintile,East,Yes,0.17157,166,786,0.14520,0.19795
2001,2nd Quintile,East,No,0.82843,620,786,0.80205,0.85480
2001,3rd Quintile,West,Yes,0.11359,231,1763,0.09877,0.12841
2001,3rd Quintile,West,No,0.88641,1532,1763,0.87159,0.90123
2001,3rd Quintile,East,Yes,0.18884,142,673,0.15925,0.21843
2001,3rd Quintile,East,No,0.81116,531,673,0.78157,0.84075
2001,4th Quintile,West,Yes,0.11960,251,1915,0.10506,0.13413
2001,4th Quintile,West,No,0.88040,1664,1915,0.86587,0.89494
2001,4th Quintile,East,Yes,0.17349,87,454,0.13862,0.20836
2001,4th Quintile,East,No,0.82651,367,454,0.79164,0.86138
2001,5th Quintile,West,Yes,0.11725,240,1934,0.10291,0.13159
2001,5th Quintile,West,No,0.88275,1694,1934,0.86841,0.89709
2001,5th Quintile,East,Yes,0.16045,43,247,0.11458,0.20631
2001,5th Quintile,East,No,0.83955,204,247,0.79369,0.88542
2006,1st Quintile,West,Yes,0.09902,151,1433,0.08355,0.11450
2006,1st Quintile,West,No,0.90098,1282,1433,0.88550,0.91645
2006,1st Quintile,East,Yes,0.12875,97,663,0.10324,0.15426
2006,1st Quintile,East,No,0.87125,566,663,0.84574,0.89676
2006,2nd Quintile,West,Yes,0.11536,197,1491,0.09914,0.13158
2006,2nd Quintile,West,No,0.88464,1294,1491,0.86842,0.90086
2006,2nd Quintile,East,Yes,0.15323,127,731,0.12710,0.17936
2006,2nd Quintile,East,No,0.84677,604,731,0.82064,0.87290
2006,3rd Quintile,West,Yes,0.11701,223,1713,0.10178,0.13223
2006,3rd Quintile,West,No,0.88299,1490,1713,0.86777,0.89822
2006,3rd Quintile,East,Yes,0.17261,120,674,0.14406,0.20116
2006,3rd Quintile,East,No,0.82739,554,674,0.79884,0.85594
2006,4th Quintile,West,Yes,0.11771,254,1984,0.10353,0.13190
2006,4th Quintile,West,No,0.88229,1730,1984,0.86810,0.89647
2006,4th Quintile,East,Yes,0.14417,84,509,0.11362,0.17472
2006,4th Quintile,East,No,0.85583,425,509,0.82528,0.88638
2006,5th Quintile,West,Yes,0.10769,348,2711,0.09602,0.11936
2006,5th Quintile,West,No,0.89231,2363,2711,0.88064,0.90398
2006,5th Quintile,East,Yes,0.16443,62,350,0.12554,0.20332
2006,5th Quintile,East,No,0.83557,288,350,0.79668,0.87446
2011,1st Quintile,West,Yes,0.09371,159,1539,0.07915,0.10828
2011,1st Quintile,West,No,0.90629,1380,1539,0.89172,0.92085
2011,1st Quintile,East,Yes,0.12079,97,716,0.09690,0.14468
2011,1st Quintile,East,No,0.87921,619,716,0.85532,0.90310
2011,2nd Quintile,West,Yes,0.10042,169,1498,0.08520,0.11565
2011,2nd Quintile,West,No,0.89958,1329,1498,0.88435,0.91480
2011,2nd Quintile,East,Yes,0.15939,115,741,0.13302,0.18576
2011,2nd Quintile,East,No,0.84061,626,741,0.81424,0.86698
2011,3rd Quintile,West,Yes,0.12107,237,1721,0.10565,0.13649
2011,3rd Quintile,West,No,0.87893,1484,1721,0.86351,0.89435
2011,3rd Quintile,East,Yes,0.13025,97,654,0.10444,0.15607
2011,3rd Quintile,East,No,0.86975,557,654,0.84393,0.89556
2011,4th Quintile,West,Yes,0.11697,251,1980,0.10281,0.13113
2011,4th Quintile,West,No,0.88303,1729,1980,0.86887,0.89719
2011,4th Quintile,East,Yes,0.15632,72,456,0.12295,0.18969
2011,4th Quintile,East,No,0.84368,384,456,0.81031,0.87705
2011,5th Quintile,West,Yes,0.12464,324,2451,0.11156,0.13772
