year,quintil_oecd_hh,pet_dog,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1996,1st Quintile,Yes,0.09556,139,1411,0.08022,0.11091
1996,1st Quintile,No,0.90444,1272,1411,0.88909,0.91978
1996,2nd Quintile,Yes,0.10553,164,1401,0.08943,0.12162
1996,2nd Quintile,No,0.89447,1237,1401,0.87838,0.91057
1996,3rd Quintile,Yes,0.12720,185,1394,0.10970,0.14469
1996,3rd Quintile,No,0.87280,1209,1394,0.85531,0.89030
1996,4th Quintile,Yes,0.11625,158,1298,0.09881,0.13370
1996,4th Quintile,No,0.88375,1140,1298,0.86630,0.90119
1996,5th Quintile,Yes,0.13612,157,1122,0.11604,0.15619
1996,5th Quintile,No,0.86388,965,1122,0.84381,0.88396
2001,1st Quintile,Yes,0.09986,261,2231,0.08741,0.11230
2001,1st Quintile,No,0.90014,1970,2231,0.88770,0.91259
2001,2nd Quintile,Yes,0.12902,367,2460,0.11577,0.14227
2001,2nd Quintile,No,0.87098,2093,2460,0.85773,0.88423
2001,3rd Quintile,Yes,0.12955,373,2436,0.11621,0.14289
2001,3rd Quintile,No,0.87045,2063,2436,0.85711,0.88379
2001,4th Quintile,Yes,0.12684,338,2369,0.11343,0.14024
2001,4th Quintile,No,0.87316,2031,2369,0.85976,0.88657
2001,5th Quintile,Yes,0.12041,283,2181,0.10675,0.13407
2001,5th Quintile,No,0.87959,1898,2181,0.86593,0.89325
2006,1st Quintile,Yes,0.10664,248,2096,0.09343,0.11986
2006,1st Quintile,No,0.89336,1848,2096,0.88014,0.90657
2006,2nd Quintile,Yes,0.12480,324,2222,0.11105,0.13854
2006,2nd Quintile,No,0.87520,1898,2222,0.86146,0.88895
2006,3rd Quintile,Yes,0.12821,343,2387,0.11480,0.14163
2006,3rd Quintile,No,0.87179,2044,2387,0.85837,0.88520
2006,4th Quintile,Yes,0.12189,338,2493,0.10905,0.13474
2006,4th Quintile,No,0.87811,2155,2493,0.86526,0.89095
2006,5th Quintile,Yes,0.11178,410,3061,0.10062,0.12295
2006,5th Quintile,No,0.88822,2651,3061,0.87705,0.89938
2011,1st Quintile,Yes,0.10085,256,2255,0.08842,0.11328
2011,1st Quintile,No,0.89915,1999,2255,0.88672,0.91158
2011,2nd Quintile,Yes,0.11466,284,2239,0.10146,0.12787
2011,2nd Quintile,No,0.88534,1955,2239,0.87213,0.89854
2011,3rd Quintile,Yes,0.12303,334,2375,0.10982,0.13625
2011,3rd Quintile,No,0.87697,2041,2375,0.86375,0.89018
2011,4th Quintile,Yes,0.12241,323,2436,0.10939,0.13542
2011,4th Quintile,No,0.87759,2113,2436,0.86458,0.89061
2011,5th Quintile,Yes,0.12780,374,2776,0.11537,0.14022
2011,5th Quintile,No,0.87220,2402,2776,0.85978,0.88463
2016,1st Quintile,Yes,0.11568,439,3096,0.10442,0.12695
2016,1st Quintile,No,0.88432,2657,3096,0.87305,0.89558
2016,2nd Quintile,Yes,0.11966,410,3041,0.10812,0.13119
2016,2nd Quintile,No,0.88034,2631,3041,0.86881,0.89188
2016,3rd Quintile,Yes,0.11918,379,2743,0.10705,0.13131
2016,3rd Quintile,No,0.88082,2364,2743,0.86869,0.89295
2016,4th Quintile,Yes,0.12537,366,2662,0.11278,0.13795
2016,4th Quintile,No,0.87463,2296,2662,0.86205,0.88722
2016,5th Quintile,Yes,0.12511,362,2755,0.11276,0.13747
2016,5th Quintile,No,0.87489,2393,2755,0.86253,0.88724
2021,1st Quintile,Yes,0.11578,258,2042,0.10190,0.12966
2021,1st Quintile,No,0.88422,1784,2042,0.87034,0.89810
2021,2nd Quintile,Yes,0.10335,324,2184,0.09058,0.11611
2021,2nd Quintile,No,0.89665,1860,2184,0.88389,0.90942
2021,3rd Quintile,Yes,0.12025,314,2024,0.10608,0.13443
2021,3rd Quintile,No,0.87975,1710,2024,0.86557,0.89392
2021,4th Quintile,Yes,0.13113,293,2078,0.11662,0.14565
2021,4th Quintile,No,0.86887,1785,2078,0.85435,0.88338
2021,5th Quintile,Yes,0.13805,419,2709,0.12506,0.15104
2021,5th Quintile,No,0.86195,2290,2709,0.84896,0.87494
