year,pgisced97,proportion,n,lower_confidence,upper_confidence
1984,middle vocational,0.48130287648054143,16099,0.47358455667253047,0.4890211962885524
1984,general elemantary,0.2799492385786802,16099,0.27301373782186866,0.28688473933549175
1984,inadequately,0.08265651438240271,16099,0.07840287022898539,0.08691015853582003
1984,higher education,0.06683587140439932,16099,0.0629780648511889,0.07069367795760975
1984,higher vocational,0.05583756345177665,16099,0.05229071028627378,0.05938441661727952
1984,vocational + Abi,0.02614213197969543,16099,0.02367737042473126,0.028606893534659603
1984,in school,0.00727580372250423,16099,0.005962964896238678,0.008588642548769782
1985,middle vocational,0.48549431978218005,14443,0.47734325153937784,0.49364538802498226
1985,general elemantary,0.27443432541545393,14443,0.2671567796464213,0.28171187118448654
1985,inadequately,0.07680030044127312,14443,0.07245763220179484,0.0811429686807514
1985,higher education,0.07088536287672519,14443,0.06669993078267428,0.0750707949707761
1985,higher vocational,0.058210496666979625,14443,0.05439188987217622,0.06202910346178303
1985,vocational + Abi,0.025819171908740963,14443,0.023232637206470185,0.02840570661101174
1985,in school,0.008356022908647075,14443,0.006871437916349546,0.009840607900944605
1986,middle vocational,0.48839032036837465,13742,0.4800326738388792,0.4967479668978701
1986,general elemantary,0.2709904967179387,13742,0.26355902679145116,0.2784219666444262
1986,inadequately,0.07416478887038307,13742,0.06978355104503882,0.07854602669572731
1986,higher education,0.07338101303027335,13742,0.06902114294750814,0.07774088311303856
1986,higher vocational,0.05701969236798276,13742,0.053142700894347486,0.06089668384161803
1986,vocational + Abi,0.026844322523758204,13742,0.024141929670905293,0.029546715376611115
1986,in school,0.009209366121289312,13742,0.00761224845018798,0.010806483792390643
1987,middle vocational,0.4915271033594292,13496,0.4830925677526115,0.49996163896624685
1987,general elemantary,0.26776335348330194,13496,0.26029276462123174,0.27523394234537213
1987,higher education,0.07353086909126945,13496,0.06912730965104653,0.07793442853149236
1987,inadequately,0.07313447626597959,13496,0.06874186290250106,0.07752708962945812
1987,higher vocational,0.05608958477851551,13496,0.05220754449091296,0.059971625066118056
1987,vocational + Abi,0.027152908532355566,13496,0.02441080399559621,0.02989501306911492
1987,in school,0.010801704489148746,13496,0.0090577250433064,0.012545683934991093
1988,middle vocational,0.49193800062415477,12817,0.48328281430074616,0.5005931869475634
1988,general elemantary,0.2716113596171851,12817,0.2639108684682554,0.27931185076611476
1988,higher education,0.07302611047539789,12817,0.06852172328466644,0.07753049766612935
1988,inadequately,0.07084156870903985,12817,0.06639984183310887,0.07528329558497082
