year,bula_h,sampreg,pgisced97,proportion,n,lower_confidence,upper_confidence
1984,Nordrhein-Westfalen,Westdeutschland,middle vocational,0.12884940778341794,16099,0.12367400145354308,0.1340248141132928
1984,Bayern,Westdeutschland,middle vocational,0.08730964467005076,16099,0.08294901242232611,0.0916702769177754
1984,Baden-Wuerttemberg,Westdeutschland,middle vocational,0.07910321489001693,16099,0.07493395308851099,0.08327247669152286
1984,Nordrhein-Westfalen,Westdeutschland,general elemantary,0.07047377326565143,16099,0.0665200960715498,0.07442745045975308
1984,Baden-Wuerttemberg,Westdeutschland,general elemantary,0.05626057529610829,16099,0.052701110069253564,0.05982004052296302
1984,Niedersachsen,Westdeutschland,middle vocational,0.049830795262267344,16099,0.04646950509055311,0.05319208543398158
1984,Hessen,Westdeutschland,middle vocational,0.049238578680203045,16099,0.045896280820631755,0.052580876539774335
1984,Bayern,Westdeutschland,general elemantary,0.047208121827411166,16099,0.043931970109879676,0.05048427354494266
1984,"Rheinland-Pfalz,Saarland",Westdeutschland,middle vocational,0.033164128595600674,16099,0.03039803230677805,0.035930224884423295
1984,Niedersachsen,Westdeutschland,general elemantary,0.02961082910321489,16099,0.026992315250765044,0.032229342955664736
1984,Hessen,Westdeutschland,general elemantary,0.02868020304568528,16099,0.02610193033335193,0.03125847575801863
1984,Nordrhein-Westfalen,Westdeutschland,inadequately,0.02521150592216582,16099,0.022789856830225805,0.027633155014105838
1984,"Rheinland-Pfalz,Saarland",Westdeutschland,general elemantary,0.023773265651438242,16099,0.021419970547528498,0.026126560755347986
1984,Baden-Wuerttemberg,Westdeutschland,inadequately,0.023688663282571912,16099,0.021339457480997415,0.02603786908414641
1984,Nordrhein-Westfalen,Westdeutschland,higher education,0.01903553299492386,16099,0.01692464213138492,0.0211464238584628
1984,Schleswig-Holstein,Westdeutschland,middle vocational,0.01852791878172589,16099,0.016444824554234738,0.02061101300921704
1984,Berlin,Westdeutschland,middle vocational,0.015736040609137057,16099,0.01381356806351445,0.01765851315475966
1984,Nordrhein-Westfalen,Westdeutschland,higher vocational,0.013367174280879865,16099,0.011593171866179542,0.015141176695580188
1984,Hamburg,Westdeutschland,middle vocational,0.013282571912013536,16099,0.011514116523632541,0.01505102730039453
1984,Bayern,Westdeutschland,higher education,0.013282571912013536,16099,0.011514116523632541,0.01505102730039453
1984,Bayern,Westdeutschland,higher vocational,0.010998307952622674,16099,0.009387224354198751,0.012609391551046597
1984,Baden-Wuerttemberg,Westdeutschland,higher education,0.010575296108291032,16099,0.008995160848553452,0.012155431368028612
1984,Baden-Wuerttemberg,Westdeutschland,higher vocational,0.009898477157360405,16099,0.008369219449937727,0.011427734864783084
1984,Hessen,Westdeutschland,inadequately,0.008629441624365483,16099,0.007200659601131474,0.010058223647599491
1984,Bayern,Westdeutschland,inadequately,0.008460236886632826,16099,0.007045411152808598,0.009875062620457054
1984,Berlin,Westdeutschland,general elemantary,0.00820642978003384,16099,0.006812809703248877,0.009600049856818805
