year,bula_h,ple0008,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1992,Schleswig-Holstein,Very good,0.12158,47,264,0.08208,0.16107
1992,Schleswig-Holstein,Good,0.29543,104,264,0.24029,0.35057
1992,Schleswig-Holstein,Satisfactory,0.21330,71,264,0.16379,0.26281
1992,Schleswig-Holstein,Poor,0.12265,42,264,0.08301,0.16230
1992,Hamburg,Good,0.27993,58,102,0.19237,0.36749
1992,Hamburg,Satisfactory,0.25338,44,102,0.16855,0.33821
1992,Lower Saxony,Very good,0.11919,157,968,0.09877,0.13961
1992,Lower Saxony,Good,0.29532,362,968,0.26657,0.32407
1992,Lower Saxony,Satisfactory,0.27155,293,968,0.24351,0.29958
1992,Lower Saxony,Poor,0.10725,114,968,0.08774,0.12675
1992,Lower Saxony,Bad,0.03954,42,968,0.02726,0.05183
1992,Bremen,Good,0.31860,36,36,0.16424,0.47297
1992,North Rhine-Westphalia,Very good,0.11845,437,2516,0.10582,0.13108
1992,North Rhine-Westphalia,Good,0.31963,1016,2516,0.30140,0.33786
1992,North Rhine-Westphalia,Satisfactory,0.24990,694,2516,0.23298,0.26682
1992,North Rhine-Westphalia,Poor,0.10082,289,2516,0.08905,0.11259
1992,North Rhine-Westphalia,Bad,0.02881,80,2516,0.02228,0.03535
1992,Hesse,Very good,0.11413,155,950,0.09390,0.13436
1992,Hesse,Good,0.34019,397,950,0.31004,0.37033
1992,Hesse,Satisfactory,0.23311,243,950,0.20621,0.26001
1992,Hesse,Poor,0.11473,108,950,0.09446,0.13501
1992,Hesse,Bad,0.04823,47,950,0.03459,0.06186
1992,"Rhineland-Palatinate, Saarland",Very good,0.09866,92,631,0.07537,0.12194
1992,"Rhineland-Palatinate, Saarland",Good,0.30449,251,631,0.26855,0.34042
1992,"Rhineland-Palatinate, Saarland",Satisfactory,0.28110,208,631,0.24600,0.31620
1992,"Rhineland-Palatinate, Saarland",Poor,0.11037,80,631,0.08590,0.13484
1992,Baden-Wuerttemberg,Very good,0.10182,271,1759,0.08769,0.11596
1992,Baden-Wuerttemberg,Good,0.31882,716,1759,0.29704,0.34061
1992,Baden-Wuerttemberg,Satisfactory,0.24472,487,1759,0.22463,0.26482
1992,Baden-Wuerttemberg,Poor,0.10121,217,1759,0.08711,0.11531
1992,Baden-Wuerttemberg,Bad,0.03967,68,1759,0.03055,0.04880
1992,Bavaria,Very good,0.11697,272,1636,0.10140,0.13255
1992,Bavaria,Good,0.31991,667,1636,0.29730,0.34252
1992,Bavaria,Satisfactory,0.25566,474,1636,0.23452,0.27681
1992,Bavaria,Poor,0.08897,153,1636,0.07517,0.10277
1992,Bavaria,Bad,0.04168,70,1636,0.03199,0.05137
1992,Berlin,Very good,0.10692,93,576,0.08166,0.13218
1992,Berlin,Good,0.31974,243,576,0.28162,0.35786
1992,Berlin,Satisfactory,0.24628,155,576,0.21106,0.28150
1992,Berlin,Poor,0.12715,85,576,0.09992,0.15438
1992,Brandenburg,Very good,0.11971,113,640,0.09454,0.14488
1992,Brandenburg,Good,0.33635,281,640,0.29972,0.37298
1992,Brandenburg,Satisfactory,0.26608,197,640,0.23182,0.30035
1992,Brandenburg,Poor,0.06695,49,640,0.04757,0.08633
1992,Mecklenburg-Western Pomerania,Very good,0.10589,63,377,0.07479,0.13700
1992,Mecklenburg-Western Pomerania,Good,0.38822,207,377,0.33896,0.43748
1992,Mecklenburg-Western Pomerania,Satisfactory,0.22008,107,377,0.17820,0.26196
1992,Saxony,Very good,0.10437,162,1133,0.08656,0.12218
1992,Saxony,Good,0.33428,526,1133,0.30680,0.36176
1992,Saxony,Satisfactory,0.26774,348,1133,0.24194,0.29353
1992,Saxony,Poor,0.08478,97,1133,0.06855,0.10100
1992,Saxony-Anhalt,Very good,0.14419,128,771,0.11937,0.16900
1992,Saxony-Anhalt,Good,0.31372,329,771,0.28094,0.34649
1992,Saxony-Anhalt,Satisfactory,0.23895,208,771,0.20883,0.26907
1992,Saxony-Anhalt,Poor,0.09210,74,771,0.07168,0.11252
1992,Saxony-Anhalt,Bad,0.05251,32,771,0.03676,0.06827
1992,Thuringa,Very good,0.10710,103,661,0.08350,0.13069
1992,Thuringa,Good,0.33805,325,661,0.30196,0.37414
1992,Thuringa,Satisfactory,0.21347,170,661,0.18221,0.24473
1992,Thuringa,Poor,0.09359,63,661,0.07137,0.11581
1994,Schleswig-Holstein,Very good,0.09173,36,280,0.05786,0.12560
1994,Schleswig-Holstein,Good,0.30961,112,280,0.25536,0.36386
