year,migback,ple0008,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1992,No migration background,Very good,0.11130,1569,10341,0.10524,0.11736
1992,No migration background,Good,0.32454,4353,10341,0.31552,0.33357
1992,No migration background,Satisfactory,0.25885,3000,10341,0.25041,0.26729
1992,No migration background,Poor,0.09942,1049,10341,0.09365,0.10519
1992,No migration background,Bad,0.03877,370,10341,0.03505,0.04249
1992,Direct migration background,Very good,0.14358,386,2546,0.12996,0.15721
1992,Direct migration background,Good,0.37286,1000,2546,0.35407,0.39164
1992,Direct migration background,Satisfactory,0.27419,685,2546,0.25686,0.29153
1992,Direct migration background,Poor,0.14023,358,2546,0.12674,0.15372
1992,Direct migration background,Bad,0.04679,117,2546,0.03859,0.05500
1992,Indirect migration background,Very good,0.09739,170,377,0.06742,0.12736
1992,Indirect migration background,Good,0.10379,165,377,0.07296,0.13462
1992,Indirect migration background,Satisfactory,0.02931,42,377,0.01226,0.04636
1994,No migration background,Very good,0.06774,925,10010,0.06282,0.07266
1994,No migration background,Good,0.31459,4076,10010,0.30549,0.32369
1994,No migration background,Satisfactory,0.28595,3335,10010,0.27710,0.29480
1994,No migration background,Poor,0.12382,1320,10010,0.11736,0.13027
1994,No migration background,Bad,0.03699,354,10010,0.03330,0.04069
1994,Direct migration background,Very good,0.09874,256,2349,0.08667,0.11081
1994,Direct migration background,Good,0.36983,940,2349,0.35030,0.38935
1994,Direct migration background,Satisfactory,0.29815,648,2349,0.27965,0.31666
1994,Direct migration background,Poor,0.17086,399,2349,0.15564,0.18608
1994,Direct migration background,Bad,0.04579,106,2349,0.03734,0.05425
1994,Indirect migration background,Very good,0.10426,159,483,0.07698,0.13154
1994,Indirect migration background,Good,0.12421,206,483,0.09476,0.15365
1994,Indirect migration background,Satisfactory,0.06304,87,483,0.04134,0.08474
1994,Indirect migration background,Poor,0.03088,31,483,0.01543,0.04632
1995,No migration background,Very good,0.05983,848,9970,0.05517,0.06448
1995,No migration background,Good,0.31798,4099,9970,0.30884,0.32713
1995,No migration background,Satisfactory,0.29028,3360,9970,0.28137,0.29919
1995,No migration background,Poor,0.12555,1326,9970,0.11904,0.13205
1995,No migration background,Bad,0.03498,337,9970,0.03137,0.03859
1995,Direct migration background,Very good,0.11198,309,2771,0.10023,0.12372
1995,Direct migration background,Good,0.36320,1132,2771,0.34529,0.38111
1995,Direct migration background,Satisfactory,0.27226,777,2771,0.25569,0.28884
1995,Direct migration background,Poor,0.14042,425,2771,0.12748,0.15336
1995,Direct migration background,Bad,0.04620,128,2771,0.03838,0.05402
1995,Indirect migration background,Very good,0.08369,146,495,0.05927,0.10811
1995,Indirect migration background,Good,0.14218,228,495,0.11138,0.17298
1995,Indirect migration background,Satisfactory,0.06500,83,495,0.04326,0.08673
1995,Indirect migration background,Poor,0.02403,38,495,0.01053,0.03754
1996,No migration background,Very good,0.06359,861,9885,0.05878,0.06840
1996,No migration background,Good,0.31454,4007,9885,0.30539,0.32369
1996,No migration background,Satisfactory,0.29761,3423,9885,0.28860,0.30663
1996,No migration background,Poor,0.12214,1279,9885,0.11568,0.12859
1996,No migration background,Bad,0.03313,315,9885,0.02960,0.03666
1996,Direct migration background,Very good,0.09718,274,2593,0.08578,0.10858
1996,Direct migration background,Good,0.33980,988,2593,0.32157,0.35804
1996,Direct migration background,Satisfactory,0.31220,815,2593,0.29436,0.33004
1996,Direct migration background,Poor,0.13356,381,2593,0.12047,0.14666
1996,Direct migration background,Bad,0.05872,135,2593,0.04967,0.06777
1996,Indirect migration background,Very good,0.08839,153,539,0.06440,0.11238
1996,Indirect migration background,Good,0.13113,241,539,0.10261,0.15965
1996,Indirect migration background,Satisfactory,0.08224,114,539,0.05902,0.10545
1996,Indirect migration background,Poor,0.02611,31,539,0.01264,0.03959
1997,No migration background,Very good,0.06309,797,9776,0.05827,0.06791
1997,No migration background,Good,0.31884,4118,9776,0.30960,0.32808
