year,quintil_oecd_hh,rentown,pet_other,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1996,1st Quintile,Owner,Yes,0.14187,40,233,0.09697,0.18677
1996,1st Quintile,Owner,No,0.85813,193,233,0.81323,0.90303
1996,1st Quintile,Tenant,Yes,0.05890,78,1178,0.04545,0.07235
1996,1st Quintile,Tenant,No,0.94110,1100,1178,0.92765,0.95455
1996,2nd Quintile,Owner,Yes,0.13634,63,415,0.10328,0.16939
1996,2nd Quintile,Owner,No,0.86366,352,415,0.83061,0.89672
1996,2nd Quintile,Tenant,Yes,0.05450,70,986,0.04033,0.06868
1996,2nd Quintile,Tenant,No,0.94550,916,986,0.93132,0.95967
1996,3rd Quintile,Owner,Yes,0.11442,74,541,0.08757,0.14127
1996,3rd Quintile,Owner,No,0.88558,467,541,0.85873,0.91243
1996,3rd Quintile,Tenant,Yes,0.07165,77,853,0.05433,0.08897
1996,3rd Quintile,Tenant,No,0.92835,776,853,0.91103,0.94567
1996,4th Quintile,Owner,Yes,0.08075,59,581,0.05858,0.10292
1996,4th Quintile,Owner,No,0.91925,522,581,0.89708,0.94142
1996,4th Quintile,Tenant,Yes,0.05671,54,716,0.03975,0.07366
1996,4th Quintile,Tenant,No,0.94185,662,716,0.92470,0.95901
1996,5th Quintile,Owner,Yes,0.06503,46,624,0.04566,0.08439
1996,5th Quintile,Owner,No,0.93497,578,624,0.91561,0.95434
1996,5th Quintile,Tenant,No,0.96582,474,474,0.94945,0.98220
2001,1st Quintile,Owner,Yes,0.14951,66,394,0.11426,0.18477
2001,1st Quintile,Owner,No,0.85049,328,394,0.81523,0.88574
2001,1st Quintile,Tenant,Yes,0.06124,134,1837,0.05027,0.07221
2001,1st Quintile,Tenant,No,0.93876,1703,1837,0.92779,0.94973
2001,2nd Quintile,Owner,Yes,0.14871,153,912,0.12561,0.17182
2001,2nd Quintile,Owner,No,0.85129,759,912,0.82818,0.87439
2001,2nd Quintile,Tenant,Yes,0.08325,146,1548,0.06948,0.09702
2001,2nd Quintile,Tenant,No,0.91675,1402,1548,0.90298,0.93052
2001,3rd Quintile,Owner,Yes,0.11200,150,1169,0.09391,0.13009
2001,3rd Quintile,Owner,No,0.88800,1019,1169,0.86991,0.90609
2001,3rd Quintile,Tenant,Yes,0.05429,82,1267,0.04181,0.06677
2001,3rd Quintile,Tenant,No,0.94571,1185,1267,0.93323,0.95819
2001,4th Quintile,Owner,Yes,0.09793,139,1331,0.08195,0.11390
2001,4th Quintile,Owner,No,0.90207,1192,1331,0.88610,0.91805
2001,4th Quintile,Tenant,Yes,0.05136,61,1038,0.03792,0.06479
2001,4th Quintile,Tenant,No,0.94864,977,1038,0.93521,0.96208
2001,5th Quintile,Owner,Yes,0.05863,98,1461,0.04658,0.07068
2001,5th Quintile,Owner,No,0.94137,1363,1461,0.92932,0.95342
2001,5th Quintile,Tenant,Yes,0.03696,35,720,0.02317,0.05075
2001,5th Quintile,Tenant,No,0.96304,685,720,0.94925,0.97683
2006,1st Quintile,Owner,Yes,0.10826,50,354,0.07585,0.14068
2006,1st Quintile,Owner,No,0.89174,304,354,0.85932,0.92415
2006,1st Quintile,Tenant,Yes,0.07713,163,1742,0.06460,0.08966
2006,1st Quintile,Tenant,No,0.92287,1579,1742,0.91034,0.93540
2006,2nd Quintile,Owner,Yes,0.12770,119,805,0.10463,0.15077
2006,2nd Quintile,Owner,No,0.87230,686,805,0.84923,0.89537
2006,2nd Quintile,Tenant,Yes,0.06731,120,1417,0.05426,0.08037
2006,2nd Quintile,Tenant,No,0.93269,1297,1417,0.91963,0.94574
2006,3rd Quintile,Owner,Yes,0.12882,150,1191,0.10979,0.14786
2006,3rd Quintile,Owner,No,0.87118,1041,1191,0.85214,0.89021
2006,3rd Quintile,Tenant,Yes,0.07283,103,1195,0.05809,0.08757
2006,3rd Quintile,Tenant,No,0.92717,1092,1195,0.91243,0.94191
2006,4th Quintile,Owner,Yes,0.10049,180,1485,0.08519,0.11579
2006,4th Quintile,Owner,No,0.89951,1305,1485,0.88421,0.91481
2006,4th Quintile,Tenant,Yes,0.05865,77,1008,0.04413,0.07316
2006,4th Quintile,Tenant,No,0.94135,931,1008,0.92684,0.95587
2006,5th Quintile,Owner,Yes,0.06773,170,2167,0.05715,0.07832
2006,5th Quintile,Owner,No,0.93227,1997,2167,0.92168,0.94285
2006,5th Quintile,Tenant,Yes,0.03507,35,893,0.02300,0.04715
2006,5th Quintile,Tenant,No,0.96493,858,893,0.95285,0.97700
2011,1st Quintile,Owner,Yes,0.08815,44,383,0.05972,0.11658
2011,1st Quintile,Owner,No,0.80826,339,383,0.76878,0.84774
2011,1st Quintile,Tenant,Yes,0.04215,139,1872,0.03305,0.05126
2011,1st Quintile,Tenant,No,0.81968,1733,1872,0.80226,0.83710
2011,2nd Quintile,Owner,Yes,0.08158,100,861,0.06329,0.09988
2011,2nd Quintile,Owner,No,0.82490,761,861,0.79950,0.85030
2011,2nd Quintile,Tenant,Yes,0.04562,93,1378,0.03460,0.05664
2011,2nd Quintile,Tenant,No,0.85295,1285,1378,0.83424,0.87166
2011,3rd Quintile,Owner,Yes,0.08217,144,1232,0.06683,0.09751
2011,3rd Quintile,Owner,No,0.85371,1088,1232,0.83397,0.87345
2011,3rd Quintile,Tenant,Yes,0.06457,96,1143,0.05032,0.07883
2011,3rd Quintile,Tenant,No,0.86615,1047,1143,0.84640,0.88590
2011,4th Quintile,Owner,Yes,0.08221,158,1470,0.06816,0.09626
2011,4th Quintile,Owner,No,0.86266,1312,1470,0.84506,0.88027
2011,4th Quintile,Tenant,Yes,0.04595,71,966,0.03274,0.05916
2011,4th Quintile,Tenant,No,0.90992,895,966,0.89186,0.92799
2011,5th Quintile,Owner,Yes,0.06404,151,1998,0.05330,0.07478
2011,5th Quintile,Owner,No,0.90003,1847,1998,0.88687,0.91319
2011,5th Quintile,Tenant,Yes,0.03427,40,778,0.02148,0.04706
2011,5th Quintile,Tenant,No,0.93320,738,778,0.91564,0.95075
