year,bula_h,pet_other,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1996,Schleswig-Holstein,No,0.92913,136,136,0.88584,0.97241
1996,Hamburg,No,0.96507,79,79,0.92432,1.00581
1996,Lower Saxony,Yes,0.07369,39,531,0.05144,0.09593
1996,Lower Saxony,No,0.92631,492,531,0.90407,0.94856
1996,Bremen,No,0.97690,50,50,0.93484,1.01896
1996,North Rhine-Westphalia,Yes,0.06848,95,1289,0.05468,0.08227
1996,North Rhine-Westphalia,No,0.93152,1194,1289,0.91773,0.94532
1996,Hesse,No,0.95939,441,441,0.94095,0.97784
1996,"Rhineland-Palatinate, Saarland",Yes,0.06890,32,347,0.04221,0.09558
1996,"Rhineland-Palatinate, Saarland",No,0.93110,315,347,0.90442,0.95779
1996,Baden-Wuerttemberg,Yes,0.07229,63,840,0.05477,0.08981
1996,Baden-Wuerttemberg,No,0.92771,777,840,0.91019,0.94523
1996,Bavaria,Yes,0.07176,70,861,0.05451,0.08901
1996,Bavaria,No,0.92824,791,861,0.91099,0.94549
1996,Berlin,No,0.91757,282,282,0.88542,0.94973
1996,Brandenburg,Yes,0.12473,45,300,0.08728,0.16218
1996,Brandenburg,No,0.87527,255,300,0.83782,0.91272
1996,Mecklenburg-Western Pomerania,No,0.91134,177,177,0.86934,0.95334
1996,Saxony,Yes,0.10372,66,548,0.07817,0.12927
1996,Saxony,No,0.89628,482,548,0.87073,0.92183
1996,Saxony-Anhalt,Yes,0.09047,35,330,0.05947,0.12146
1996,Saxony-Anhalt,No,0.90953,295,330,0.87854,0.94053
1996,Thuringa,Yes,0.11121,47,326,0.07703,0.14539
1996,Thuringa,No,0.88879,279,326,0.85461,0.92297
2001,Schleswig-Holstein,No,0.93789,336,336,0.91205,0.96374
2001,Hamburg,No,0.95361,171,171,0.92200,0.98523
2001,Lower Saxony,Yes,0.10407,97,961,0.08476,0.12339
2001,Lower Saxony,No,0.89593,864,961,0.87661,0.91524
2001,Bremen,No,0.94391,92,92,0.89664,0.99119
2001,North Rhine-Westphalia,Yes,0.05867,158,2485,0.04943,0.06792
2001,North Rhine-Westphalia,No,0.94133,2327,2485,0.93208,0.95057
2001,Hesse,Yes,0.06060,63,779,0.04384,0.07737
2001,Hesse,No,0.93940,716,779,0.92263,0.95616
2001,"Rhineland-Palatinate, Saarland",Yes,0.08936,67,720,0.06851,0.11021
2001,"Rhineland-Palatinate, Saarland",No,0.91064,653,720,0.88979,0.93149
2001,Baden-Wuerttemberg,Yes,0.06298,108,1362,0.05007,0.07588
2001,Baden-Wuerttemberg,No,0.93702,1254,1362,0.92412,0.94993
2001,Bavaria,Yes,0.07415,142,1616,0.06137,0.08692
2001,Bavaria,No,0.92585,1474,1616,0.91308,0.93863
2001,Berlin,Yes,0.05629,35,481,0.03567,0.07691
2001,Berlin,No,0.94371,446,481,0.92309,0.96433
2001,Brandenburg,Yes,0.13127,67,500,0.10164,0.16090
2001,Brandenburg,No,0.86873,433,500,0.83910,0.89836
2001,Mecklenburg-Western Pomerania,Yes,0.12111,41,285,0.08317,0.15906
2001,Mecklenburg-Western Pomerania,No,0.87889,244,285,0.84094,0.91683
2001,Saxony,Yes,0.10311,96,849,0.08265,0.12358
2001,Saxony,No,0.89689,753,849,0.87642,0.91735
2001,Saxony-Anhalt,Yes,0.13263,75,505,0.10302,0.16224
2001,Saxony-Anhalt,No,0.86737,430,505,0.83776,0.89698
2001,Thuringa,Yes,0.11659,71,494,0.08826,0.14492
2001,Thuringa,No,0.88341,423,494,0.85508,0.91174
2006,Schleswig-Holstein,No,0.93964,360,360,0.91500,0.96427
2006,Hamburg,No,0.97090,187,187,0.94674,0.99505
2006,Lower Saxony,Yes,0.11688,131,1074,0.09765,0.13610
2006,Lower Saxony,No,0.88312,943,1074,0.86390,0.90235
2006,Bremen,No,0.94586,84,84,0.89718,0.99455
2006,North Rhine-Westphalia,Yes,0.06686,195,2538,0.05714,0.07658
2006,North Rhine-Westphalia,No,0.93314,2343,2538,0.92342,0.94286
2006,Hesse,Yes,0.07101,75,846,0.05369,0.08833
2006,Hesse,No,0.92899,771,846,0.91167,0.94631
2006,"Rhineland-Palatinate, Saarland",Yes,0.09288,80,727,0.07176,0.11399
