year,quintil_oecd_hh,pet_fish,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1996,1st Quintile,Yes,0.02938,65,1411,0.02057,0.03820
1996,1st Quintile,No,0.97062,1346,1411,0.96180,0.97943
1996,2nd Quintile,Yes,0.05435,95,1401,0.04247,0.06622
1996,2nd Quintile,No,0.94565,1306,1401,0.93378,0.95753
1996,3rd Quintile,Yes,0.04464,77,1394,0.03380,0.05549
1996,3rd Quintile,No,0.95536,1317,1394,0.94451,0.96620
1996,4th Quintile,Yes,0.04577,71,1298,0.03440,0.05715
1996,4th Quintile,No,0.95423,1227,1298,0.94285,0.96560
1996,5th Quintile,Yes,0.04038,56,1122,0.02886,0.05191
1996,5th Quintile,No,0.95962,1066,1122,0.94809,0.97114
2001,1st Quintile,Yes,0.04372,118,2231,0.03524,0.05221
2001,1st Quintile,No,0.95628,2113,2231,0.94779,0.96476
2001,2nd Quintile,Yes,0.05676,174,2460,0.04762,0.06591
2001,2nd Quintile,No,0.94324,2286,2460,0.93409,0.95238
2001,3rd Quintile,Yes,0.06199,176,2436,0.05241,0.07157
2001,3rd Quintile,No,0.93801,2260,2436,0.92843,0.94759
2001,4th Quintile,Yes,0.06161,162,2369,0.05193,0.07129
2001,4th Quintile,No,0.93839,2207,2369,0.92871,0.94807
2001,5th Quintile,Yes,0.03957,102,2181,0.03139,0.04775
2001,5th Quintile,No,0.96043,2079,2181,0.95225,0.96861
2006,1st Quintile,Yes,0.04059,109,2096,0.03214,0.04904
2006,1st Quintile,No,0.95941,1987,2096,0.95096,0.96786
2006,2nd Quintile,Yes,0.04586,131,2222,0.03716,0.05456
2006,2nd Quintile,No,0.95414,2091,2222,0.94544,0.96284
2006,3rd Quintile,Yes,0.07455,195,2387,0.06401,0.08509
2006,3rd Quintile,No,0.92545,2192,2387,0.91491,0.93599
2006,4th Quintile,Yes,0.06655,184,2493,0.05677,0.07634
2006,4th Quintile,No,0.93345,2309,2493,0.92366,0.94323
2006,5th Quintile,Yes,0.04361,166,3061,0.03638,0.05085
2006,5th Quintile,No,0.95639,2895,3061,0.94915,0.96362
2011,1st Quintile,Yes,0.02561,101,2255,0.01909,0.03214
2011,1st Quintile,No,0.97439,2154,2255,0.96786,0.98091
2011,2nd Quintile,Yes,0.03973,119,2239,0.03163,0.04782
2011,2nd Quintile,No,0.96027,2120,2239,0.95218,0.96837
2011,3rd Quintile,Yes,0.05862,165,2375,0.04917,0.06807
2011,3rd Quintile,No,0.94138,2210,2375,0.93193,0.95083
2011,4th Quintile,Yes,0.06078,171,2436,0.05129,0.07027
2011,4th Quintile,No,0.93922,2265,2436,0.92973,0.94871
2011,5th Quintile,Yes,0.05611,169,2776,0.04755,0.06468
2011,5th Quintile,No,0.94389,2607,2776,0.93532,0.95245
2016,1st Quintile,Yes,0.02800,127,3096,0.02218,0.03381
2016,1st Quintile,No,0.97200,2969,3096,0.96619,0.97782
2016,2nd Quintile,Yes,0.03286,152,3041,0.02652,0.03920
2016,2nd Quintile,No,0.96714,2889,3041,0.96080,0.97348
2016,3rd Quintile,Yes,0.04405,148,2743,0.03637,0.05173
2016,3rd Quintile,No,0.95595,2595,2743,0.94827,0.96363
2016,4th Quintile,Yes,0.03910,132,2662,0.03174,0.04646
2016,4th Quintile,No,0.96090,2530,2662,0.95354,0.96826
2016,5th Quintile,Yes,0.03459,128,2755,0.02776,0.04141
2016,5th Quintile,No,0.96541,2627,2755,0.95859,0.97224
2021,1st Quintile,Yes,0.01416,46,2042,0.00903,0.01928
2021,1st Quintile,No,0.98584,1996,2042,0.98072,0.99097
2021,2nd Quintile,Yes,0.03839,124,2184,0.03033,0.04645
2021,2nd Quintile,No,0.96161,2060,2184,0.95355,0.96967
2021,3rd Quintile,Yes,0.04394,90,2024,0.03501,0.05287
2021,3rd Quintile,No,0.95606,1934,2024,0.94713,0.96499
2021,4th Quintile,Yes,0.03199,87,2078,0.02442,0.03956
2021,4th Quintile,No,0.96801,1991,2078,0.96044,0.97558
2021,5th Quintile,Yes,0.03529,121,2709,0.02834,0.04224
2021,5th Quintile,No,0.96471,2588,2709,0.95776,0.97166
