year,bula_h,hhtyp,pet_fish,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1996,Schleswig-Holstein,Couple with children,No,0.98298,55,55,0.94848,1.01748
1996,Lower Saxony,Single-person household,No,0.99384,112,112,0.97928,1.00840
1996,Lower Saxony,Couple without children,No,0.97582,150,150,0.95116,1.00048
1996,Lower Saxony,Single parent,No,0.94097,31,31,0.85663,1.02531
1996,Lower Saxony,Couple with children,No,0.89564,183,183,0.85122,0.94006
1996,North Rhine-Westphalia,Single-person household,No,0.98497,286,286,0.97084,0.99910
1996,North Rhine-Westphalia,Couple without children,No,0.97323,326,326,0.95568,0.99078
1996,North Rhine-Westphalia,Single parent,No,0.96843,75,75,0.92858,1.00827
1996,North Rhine-Westphalia,Couple with children,Yes,0.08207,39,540,0.05890,0.10524
1996,North Rhine-Westphalia,Couple with children,No,0.91793,501,540,0.89476,0.94110
1996,Hesse,Couple without children,No,0.97157,141,141,0.94405,0.99910
1996,Hesse,Couple with children,No,0.92875,172,172,0.89019,0.96730
1996,"Rhineland-Palatinate, Saarland",Single-person household,No,0.98261,62,62,0.94981,1.01541
1996,"Rhineland-Palatinate, Saarland",Couple without children,No,0.94468,96,96,0.89871,0.99065
1996,"Rhineland-Palatinate, Saarland",Couple with children,No,0.94873,132,132,0.91096,0.98650
1996,Baden-Wuerttemberg,Single-person household,No,0.99670,170,170,0.98806,1.00535
1996,Baden-Wuerttemberg,Couple without children,No,0.97707,206,206,0.95657,0.99756
1996,Baden-Wuerttemberg,Single parent,No,0.91846,41,41,0.83366,1.00327
1996,Baden-Wuerttemberg,Couple with children,No,0.93835,343,343,0.91286,0.96384
1996,Bavaria,Single-person household,No,0.99013,193,193,0.97615,1.00411
1996,Bavaria,Couple without children,No,0.92712,217,217,0.89245,0.96178
1996,Bavaria,Single parent,No,0.91888,46,46,0.83911,0.99865
1996,Bavaria,Couple with children,No,0.91629,321,321,0.88595,0.94664
1996,Berlin,Single-person household,No,0.95038,86,86,0.90421,0.99655
1996,Berlin,Couple without children,No,0.95055,73,73,0.90047,1.00063
1996,Berlin,Couple with children,No,0.86586,95,95,0.79696,0.93475
1996,Brandenburg,Single-person household,No,0.98997,59,59,0.96434,1.01561
1996,Brandenburg,Couple without children,No,0.94715,82,82,0.89842,0.99587
1996,Brandenburg,Couple with children,No,0.91895,102,102,0.86573,0.97218
1996,Mecklenburg-Western Pomerania,Couple without children,No,0.98134,57,57,0.94591,1.01678
1996,Mecklenburg-Western Pomerania,Couple with children,No,0.91319,80,80,0.85111,0.97528
1996,Saxony,Single-person household,No,0.98478,92,92,0.95963,1.00994
1996,Saxony,Couple without children,No,0.95178,160,160,0.91848,0.98508
1996,Saxony,Couple with children,No,0.88823,203,203,0.84478,0.93168
1996,Saxony-Anhalt,Single-person household,No,0.97615,57,57,0.93618,1.01611
1996,Saxony-Anhalt,Couple without children,No,0.93352,96,96,0.88342,0.98361
1996,Saxony-Anhalt,Couple with children,No,0.89859,127,127,0.84588,0.95130
1996,Thuringa,Single-person household,No,0.98282,58,58,0.94909,1.01655
1996,Thuringa,Couple without children,No,0.97474,83,83,0.94077,1.00870
1996,Thuringa,Couple with children,No,0.86765,121,121,0.80702,0.92828
2001,Schleswig-Holstein,Single-person household,No,0.98622,94,94,0.96253,1.00991
2001,Schleswig-Holstein,Couple without children,No,0.98348,126,126,0.96113,1.00583
2001,Schleswig-Holstein,Couple with children,No,0.90163,103,103,0.84384,0.95943
2001,Hamburg,Couple without children,No,0.97991,42,42,0.93695,1.02286
2001,Hamburg,Couple with children,No,0.95402,36,36,0.88463,1.02341
2001,Lower Saxony,Single-person household,No,0.99438,201,201,0.98401,1.00474
2001,Lower Saxony,Couple without children,No,0.92308,290,290,0.89236,0.95380
2001,Lower Saxony,Single parent,No,0.92828,48,48,0.85451,1.00205
2001,Lower Saxony,Couple with children,Yes,0.11730,34,366,0.08429,0.15031
2001,Lower Saxony,Couple with children,No,0.88270,332,366,0.84969,0.91571
2001,North Rhine-Westphalia,Single-person household,No,0.97641,588,588,0.96413,0.98869
2001,North Rhine-Westphalia,Couple without children,Yes,0.04563,34,795,0.03111,0.06014
2001,North Rhine-Westphalia,Couple without children,No,0.95437,761,795,0.93986,0.96889
2001,North Rhine-Westphalia,Single parent,No,0.95730,125,125,0.92172,0.99289
2001,North Rhine-Westphalia,Couple with children,Yes,0.09958,86,895,0.07995,0.11921
2001,North Rhine-Westphalia,Couple with children,No,0.90042,809,895,0.88079,0.92005
2001,North Rhine-Westphalia,Other Combinations,No,0.97950,32,32,0.92961,1.02938
2001,Hesse,Single-person household,No,0.98553,177,177,0.96788,1.00317
2001,Hesse,Couple without children,No,0.97026,243,243,0.94886,0.99167
2001,Hesse,Single parent,No,0.93712,35,35,0.85553,1.01872
2001,Hesse,Couple with children,No,0.89573,261,261,0.85858,0.93288
2001,"Rhineland-Palatinate, Saarland",Single-person household,No,0.97759,160,160,0.95459,1.00060
2001,"Rhineland-Palatinate, Saarland",Couple without children,No,0.95796,192,192,0.92950,0.98642
2001,"Rhineland-Palatinate, Saarland",Single parent,No,0.95445,45,45,0.89285,1.01606
2001,"Rhineland-Palatinate, Saarland",Couple with children,Yes,0.13628,37,281,0.09609,0.17646
2001,"Rhineland-Palatinate, Saarland",Couple with children,No,0.86372,244,281,0.82354,0.90391
2001,Baden-Wuerttemberg,Single-person household,No,0.98466,318,318,0.97114,0.99819
2001,Baden-Wuerttemberg,Couple without children,No,0.97701,358,358,0.96146,0.99256
2001,Baden-Wuerttemberg,Single parent,No,0.97092,77,77,0.93314,1.00870
2001,Baden-Wuerttemberg,Couple with children,Yes,0.07407,40,551,0.05219,0.09596
2001,Baden-Wuerttemberg,Couple with children,No,0.92593,511,551,0.90404,0.94781
2001,Bavaria,Single-person household,No,0.98145,408,408,0.96835,0.99456
2001,Bavaria,Couple without children,No,0.96404,452,452,0.94685,0.98122
2001,Bavaria,Single parent,No,0.97150,102,102,0.93905,1.00395
2001,Bavaria,Couple with children,Yes,0.09499,57,584,0.07119,0.11879
2001,Bavaria,Couple with children,No,0.90501,527,584,0.88121,0.92881
2001,Berlin,Single-person household,No,0.98555,174,174,0.96777,1.00333
2001,Berlin,Couple without children,No,0.94441,107,107,0.90079,0.98803
2001,Berlin,Single parent,No,0.96014,42,42,0.90026,1.02002
2001,Berlin,Couple with children,No,0.85410,118,118,0.79014,0.91807
2001,Brandenburg,Single-person household,No,0.98912,117,117,0.97025,1.00800
2001,Brandenburg,Couple without children,No,0.93153,161,161,0.89239,0.97066
2001,Brandenburg,Couple with children,No,0.83738,140,140,0.77603,0.89872
2001,Mecklenburg-Western Pomerania,Single-person household,No,0.99040,87,87,0.96980,1.01101
2001,Mecklenburg-Western Pomerania,Couple without children,No,0.96473,79,79,0.92380,1.00567
2001,Mecklenburg-Western Pomerania,Couple with children,No,0.85684,78,78,0.77861,0.93507
2001,Saxony,Single-person household,No,0.98605,194,194,0.96950,1.00260
2001,Saxony,Couple without children,No,0.91919,267,267,0.88644,0.95194
2001,Saxony,Single parent,No,0.87964,41,41,0.77880,0.98048
2001,Saxony,Couple with children,Yes,0.12352,37,299,0.08616,0.16088
2001,Saxony,Couple with children,No,0.87648,262,299,0.83912,0.91384
2001,Saxony-Anhalt,Single-person household,No,0.99401,106,106,0.97926,1.00877
2001,Saxony-Anhalt,Couple without children,No,0.91791,168,168,0.87628,0.95954
2001,Saxony-Anhalt,Couple with children,No,0.82805,144,144,0.76620,0.88990
2001,Thuringa,Single-person household,No,0.94860,116,116,0.90824,0.98896
2001,Thuringa,Couple without children,No,0.94874,141,141,0.91222,0.98527
2001,Thuringa,Single parent,No,0.91521,35,35,0.82157,1.00885
2001,Thuringa,Couple with children,No,0.83372,147,147,0.77332,0.89412
2006,Schleswig-Holstein,Couple without children,No,0.93945,142,142,0.90009,0.97882
2006,Schleswig-Holstein,Couple with children,No,0.93240,107,107,0.88461,0.98020
2006,Hamburg,Couple without children,No,0.97057,54,54,0.92506,1.01607
2006,Hamburg,Couple with children,No,0.95442,42,42,0.89057,1.01826
2006,Lower Saxony,Single-person household,No,0.97046,243,243,0.94912,0.99179
2006,Lower Saxony,Couple without children,No,0.93374,343,343,0.90738,0.96011
2006,Lower Saxony,Single parent,No,0.98927,66,66,0.96423,1.01432
2006,Lower Saxony,Couple with children,Yes,0.10499,34,356,0.07310,0.13688
2006,Lower Saxony,Couple with children,No,0.89501,322,356,0.86312,0.92690
2006,Bremen,Single-person household,No,0.96926,33,33,0.90945,1.02907
2006,North Rhine-Westphalia,Single-person household,No,0.98332,634,634,0.97334,0.99330
2006,North Rhine-Westphalia,Couple without children,Yes,0.05205,51,896,0.03750,0.06660
2006,North Rhine-Westphalia,Couple without children,No,0.94795,845,896,0.93340,0.96250
2006,North Rhine-Westphalia,Single parent,No,0.96217,147,147,0.93123,0.99312
2006,North Rhine-Westphalia,Couple with children,Yes,0.10537,86,803,0.08412,0.12662
2006,North Rhine-Westphalia,Couple with children,No,0.89463,717,803,0.87338,0.91588
2006,Hesse,Single-person household,No,0.98607,218,218,0.97047,1.00166
2006,Hesse,Couple without children,No,0.94697,286,286,0.92096,0.97299
2006,Hesse,Single parent,No,0.98127,44,44,0.94076,1.02179
2006,Hesse,Couple with children,No,0.92850,237,237,0.89562,0.96137
2006,"Rhineland-Palatinate, Saarland",Single-person household,No,0.97502,201,201,0.95339,0.99665
2006,"Rhineland-Palatinate, Saarland",Couple without children,No,0.93650,200,200,0.90262,0.97038
2006,"Rhineland-Palatinate, Saarland",Single parent,No,0.96709,49,49,0.91661,1.01756
2006,"Rhineland-Palatinate, Saarland",Couple with children,No,0.89570,213,213,0.85456,0.93685
2006,Baden-Wuerttemberg,Single-person household,No,0.98635,381,381,0.97468,0.99802
2006,Baden-Wuerttemberg,Couple without children,No,0.97134,444,444,0.95580,0.98688
2006,Baden-Wuerttemberg,Single parent,No,0.96110,87,87,0.92024,1.00197
2006,Baden-Wuerttemberg,Couple with children,Yes,0.10910,49,506,0.08191,0.13630
2006,Baden-Wuerttemberg,Couple with children,No,0.89090,457,506,0.86370,0.91809
2006,Bavaria,Single-person household,No,0.97490,424,424,0.95999,0.98981
2006,Bavaria,Couple without children,No,0.96072,548,548,0.94444,0.97700
2006,Bavaria,Single parent,No,0.93911,102,102,0.89248,0.98575
2006,Bavaria,Couple with children,Yes,0.10492,58,583,0.08003,0.12982
2006,Bavaria,Couple with children,No,0.89508,525,583,0.87018,0.91997
2006,Berlin,Single-person household,No,0.99168,178,178,0.97830,1.00506
2006,Berlin,Couple without children,No,0.96144,145,145,0.92999,0.99289
2006,Berlin,Single parent,No,0.99699,36,36,0.97885,1.01513
2006,Berlin,Couple with children,No,0.86297,101,101,0.79557,0.93037
2006,Brandenburg,Single-person household,No,0.97484,137,137,0.94852,1.00116
2006,Brandenburg,Couple without children,No,0.89477,174,174,0.84904,0.94049
2006,Brandenburg,Single parent,No,0.89815,39,39,0.80199,0.99432
2006,Brandenburg,Couple with children,No,0.82641,134,134,0.76204,0.89078
2006,Mecklenburg-Western Pomerania,Single-person household,No,0.97916,81,81,0.94786,1.01046
2006,Mecklenburg-Western Pomerania,Couple without children,No,0.94002,96,96,0.89226,0.98777
2006,Mecklenburg-Western Pomerania,Couple with children,No,0.89581,80,80,0.82844,0.96318
2006,Saxony,Single-person household,No,0.98173,237,237,0.96464,0.99882
2006,Saxony,Couple without children,No,0.91261,299,299,0.88055,0.94467
2006,Saxony,Single parent,No,0.88618,52,52,0.79901,0.97334
2006,Saxony,Couple with children,No,0.85213,214,214,0.80446,0.89980
2006,Saxony-Anhalt,Single-person household,No,0.92425,122,122,0.87710,0.97140
2006,Saxony-Anhalt,Couple without children,No,0.95232,169,169,0.92009,0.98454
2006,Saxony-Anhalt,Couple with children,Yes,0.26026,34,153,0.19051,0.33002
2006,Saxony-Anhalt,Couple with children,No,0.73974,119,153,0.66998,0.80949
2006,Thuringa,Single-person household,No,0.95593,138,138,0.92155,0.99030
2006,Thuringa,Couple without children,No,0.95950,158,158,0.92866,0.99033
2006,Thuringa,Couple with children,No,0.81187,133,133,0.74520,0.87854
2011,Schleswig-Holstein,Couple without children,No,0.95379,162,162,0.92135,0.98622
2011,Schleswig-Holstein,Couple with children,No,0.90705,88,88,0.84603,0.96806
2011,Hamburg,Couple without children,No,0.97988,67,67,0.94601,1.01376
2011,Hamburg,Couple with children,No,0.94595,41,41,0.87587,1.01602
2011,Lower Saxony,Single-person household,No,0.98477,265,265,0.97000,0.99955
2011,Lower Saxony,Couple without children,No,0.93769,399,399,0.91395,0.96144
2011,Lower Saxony,Single parent,No,0.94882,57,57,0.89111,1.00654
2011,Lower Saxony,Couple with children,No,0.89115,277,277,0.85440,0.92789
2011,North Rhine-Westphalia,Single-person household,No,0.97932,618,618,0.96810,0.99055
2011,North Rhine-Westphalia,Couple without children,Yes,0.04770,47,847,0.03334,0.06206
2011,North Rhine-Westphalia,Couple without children,No,0.95230,800,847,0.93794,0.96666
2011,North Rhine-Westphalia,Single parent,No,0.98534,152,152,0.96618,1.00451
2011,North Rhine-Westphalia,Couple with children,Yes,0.12118,82,682,0.09667,0.14569
2011,North Rhine-Westphalia,Couple with children,No,0.87882,600,682,0.85431,0.90333
2011,Hesse,Single-person household,No,0.97478,227,227,0.95434,0.99522
2011,Hesse,Couple without children,No,0.96108,270,270,0.93796,0.98419
2011,Hesse,Single parent,No,0.92114,59,59,0.85177,0.99050
2011,Hesse,Couple with children,No,0.90005,221,221,0.86042,0.93968
2011,"Rhineland-Palatinate, Saarland",Single-person household,No,0.97783,218,218,0.95824,0.99742
2011,"Rhineland-Palatinate, Saarland",Couple without children,No,0.95211,224,224,0.92408,0.98014
2011,"Rhineland-Palatinate, Saarland",Single parent,No,0.93211,49,49,0.86094,1.00328
2011,"Rhineland-Palatinate, Saarland",Couple with children,No,0.92059,168,168,0.87959,0.96160
2011,Baden-Wuerttemberg,Single-person household,No,0.97537,389,389,0.95995,0.99079
2011,Baden-Wuerttemberg,Couple without children,No,0.96341,464,464,0.94630,0.98051
2011,Baden-Wuerttemberg,Single parent,No,0.98943,83,83,0.96729,1.01157
2011,Baden-Wuerttemberg,Couple with children,Yes,0.10620,43,407,0.07623,0.13617
2011,Baden-Wuerttemberg,Couple with children,No,0.89380,364,407,0.86383,0.92377
2011,Bavaria,Single-person household,No,0.97652,499,499,0.96322,0.98982
2011,Bavaria,Couple without children,No,0.95879,626,626,0.94321,0.97438
2011,Bavaria,Single parent,No,0.93587,107,107,0.88923,0.98251
2011,Bavaria,Couple with children,Yes,0.08708,55,531,0.06307,0.11108
2011,Bavaria,Couple with children,No,0.91292,476,531,0.88892,0.93693
2011,Berlin,Single-person household,No,0.96929,205,205,0.94561,0.99297
2011,Berlin,Couple without children,No,0.96630,162,162,0.93842,0.99417
2011,Berlin,Single parent,No,0.94800,34,34,0.87224,1.02375
2011,Berlin,Couple with children,No,0.97465,91,91,0.94218,1.00713
2011,Brandenburg,Single-person household,No,0.97546,152,152,0.95078,1.00014
2011,Brandenburg,Couple without children,No,0.93074,194,194,0.89492,0.96656
2011,Brandenburg,Single parent,No,0.98211,34,34,0.93688,1.02734
2011,Brandenburg,Couple with children,No,0.90402,106,106,0.84767,0.96036
2011,Mecklenburg-Western Pomerania,Single-person household,No,0.97988,96,96,0.95164,1.00811
2011,Mecklenburg-Western Pomerania,Couple without children,No,0.96359,117,117,0.92951,0.99768
2011,Mecklenburg-Western Pomerania,Couple with children,No,0.89693,50,50,0.81179,0.98206
2011,Saxony,Single-person household,No,0.96865,230,230,0.94608,0.99122
