year,bula_h,quintil_oecd_hh,pet_horse,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2001,Schleswig-Holstein,1st Quintile,No,0.97647,55,55,0.93605,1.01690
2001,Schleswig-Holstein,2nd Quintile,No,0.98165,69,69,0.94975,1.01355
2001,Schleswig-Holstein,3rd Quintile,No,0.99302,67,67,0.97294,1.01310
2001,Schleswig-Holstein,4th Quintile,No,0.95265,77,77,0.90490,1.00040
2001,Schleswig-Holstein,5th Quintile,No,0.96707,84,84,0.92867,1.00546
2001,Hamburg,1st Quintile,No,0.98696,37,37,0.94991,1.02402
2001,Hamburg,5th Quintile,No,0.97077,48,48,0.92261,1.01893
2001,Lower Saxony,1st Quintile,No,0.98793,169,169,0.97142,1.00444
2001,Lower Saxony,2nd Quintile,No,0.99387,172,172,0.98217,1.00557
2001,Lower Saxony,3rd Quintile,No,0.96373,203,203,0.93795,0.98951
2001,Lower Saxony,4th Quintile,No,0.95892,204,204,0.93162,0.98623
2001,Lower Saxony,5th Quintile,No,0.96574,184,184,0.93939,0.99210
2001,North Rhine-Westphalia,1st Quintile,No,0.99703,461,461,0.99205,1.00200
2001,North Rhine-Westphalia,3rd Quintile,No,0.99002,496,496,0.98127,0.99878
2001,North Rhine-Westphalia,4th Quintile,No,0.99358,511,511,0.98666,1.00051
2001,North Rhine-Westphalia,5th Quintile,No,0.99183,539,539,0.98422,0.99944
2001,Hesse,1st Quintile,No,0.99309,132,132,0.97891,1.00728
2001,Hesse,3rd Quintile,No,0.99599,154,154,0.98597,1.00601
2001,Hesse,4th Quintile,No,0.99339,155,155,0.98059,1.00619
2001,Hesse,5th Quintile,No,0.98868,182,182,0.97327,1.00409
2001,"Rhineland-Palatinate, Saarland",1st Quintile,No,0.96385,130,130,0.93164,0.99606
2001,"Rhineland-Palatinate, Saarland",2nd Quintile,No,0.99531,157,157,0.98458,1.00603
2001,"Rhineland-Palatinate, Saarland",3rd Quintile,No,0.97532,132,132,0.94876,1.00189
2001,"Rhineland-Palatinate, Saarland",4th Quintile,No,0.98293,168,168,0.96328,1.00258
2001,"Rhineland-Palatinate, Saarland",5th Quintile,No,0.99378,119,119,0.97959,1.00797
2001,Baden-Wuerttemberg,1st Quintile,No,0.99626,222,222,0.98822,1.00431
2001,Baden-Wuerttemberg,2nd Quintile,No,0.99093,249,249,0.97914,1.00273
2001,Baden-Wuerttemberg,3rd Quintile,No,0.99460,280,280,0.98600,1.00320
2001,Baden-Wuerttemberg,4th Quintile,No,0.99632,303,303,0.98949,1.00315
2001,Baden-Wuerttemberg,5th Quintile,No,0.98734,296,296,0.97458,1.00010
2001,Bavaria,1st Quintile,No,0.98891,244,244,0.97574,1.00208
2001,Bavaria,2nd Quintile,No,0.99629,307,307,0.98948,1.00310
2001,Bavaria,3rd Quintile,No,0.99509,314,314,0.98734,1.00283
2001,Bavaria,4th Quintile,No,0.98729,364,364,0.97577,0.99881
2001,Bavaria,5th Quintile,No,0.97591,367,367,0.96020,0.99162
2001,Berlin,3rd Quintile,No,0.98314,84,84,0.95545,1.01084
2001,Berlin,4th Quintile,No,0.98531,98,98,0.96136,1.00925
2001,Brandenburg,2nd Quintile,No,0.97034,129,129,0.94094,0.99973
2001,Brandenburg,4th Quintile,No,0.97904,81,81,0.94765,1.01043
2001,Brandenburg,5th Quintile,No,0.95713,52,52,0.90154,1.01273
2001,Mecklenburg-Western Pomerania,1st Quintile,No,0.98199,78,78,0.95229,1.01170
2001,Mecklenburg-Western Pomerania,2nd Quintile,No,0.99175,85,85,0.97240,1.01109
2001,Mecklenburg-Western Pomerania,3rd Quintile,No,0.97734,56,56,0.93801,1.01667
2001,Saxony,3rd Quintile,No,0.99014,201,201,0.97644,1.00383
2001,Saxony,5th Quintile,No,0.99319,68,68,0.97349,1.01288
2001,Saxony-Anhalt,2nd Quintile,No,0.98789,139,139,0.96964,1.00614
2001,Saxony-Anhalt,4th Quintile,No,0.99116,87,87,0.97138,1.01094
2001,Saxony-Anhalt,5th Quintile,No,0.99400,41,41,0.97008,1.01793
2001,Thuringa,3rd Quintile,No,0.99474,129,129,0.98221,1.00727
2001,Thuringa,4th Quintile,No,0.99071,82,82,0.96981,1.01160
2006,Schleswig-Holstein,2nd Quintile,No,0.96794,64,64,0.92444,1.01144
2006,Schleswig-Holstein,4th Quintile,No,0.92724,83,83,0.87101,0.98346
2006,Schleswig-Holstein,5th Quintile,No,0.98726,101,101,0.96528,1.00924
2006,Hamburg,5th Quintile,No,0.95153,56,56,0.89477,1.00829
2006,Lower Saxony,1st Quintile,No,0.99834,155,155,0.99190,1.00477
2006,Lower Saxony,2nd Quintile,No,0.97959,186,186,0.95921,0.99996
