year,quintil_oecd_hh,rentown,pet_dog,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1996,1st Quintile,Owner,Yes,0.21994,55,233,0.16664,0.27324
1996,1st Quintile,Owner,No,0.78006,178,233,0.72676,0.83336
1996,1st Quintile,Tenant,Yes,0.06305,84,1178,0.04916,0.07694
1996,1st Quintile,Tenant,No,0.93695,1094,1178,0.92306,0.95084
1996,2nd Quintile,Owner,Yes,0.16018,86,415,0.12485,0.19551
1996,2nd Quintile,Owner,No,0.83982,329,415,0.80449,0.87515
1996,2nd Quintile,Tenant,Yes,0.07858,78,986,0.06178,0.09539
1996,2nd Quintile,Tenant,No,0.92142,908,986,0.90461,0.93822
1996,3rd Quintile,Owner,Yes,0.20110,123,541,0.16729,0.23490
1996,3rd Quintile,Owner,No,0.79890,418,541,0.76510,0.83271
1996,3rd Quintile,Tenant,Yes,0.07814,62,853,0.06012,0.09616
1996,3rd Quintile,Tenant,No,0.92186,791,853,0.90384,0.93988
1996,4th Quintile,Owner,Yes,0.17190,112,581,0.14120,0.20261
1996,4th Quintile,Owner,No,0.82810,469,581,0.79739,0.85880
1996,4th Quintile,Tenant,Yes,0.06390,46,717,0.04599,0.08182
1996,4th Quintile,Tenant,No,0.93610,671,717,0.91818,0.95401
1996,5th Quintile,Owner,Yes,0.17731,115,624,0.14732,0.20730
1996,5th Quintile,Owner,No,0.82269,509,624,0.79270,0.85268
1996,5th Quintile,Tenant,Yes,0.07760,42,498,0.05408,0.10112
1996,5th Quintile,Tenant,No,0.92240,456,498,0.89888,0.94592
2001,1st Quintile,Owner,Yes,0.18166,87,394,0.14354,0.21978
2001,1st Quintile,Owner,No,0.81834,307,394,0.78022,0.85646
2001,1st Quintile,Tenant,Yes,0.08373,174,1837,0.07106,0.09640
2001,1st Quintile,Tenant,No,0.91627,1663,1837,0.90360,0.92894
2001,2nd Quintile,Owner,Yes,0.19918,214,912,0.17325,0.22512
2001,2nd Quintile,Owner,No,0.80082,698,912,0.77488,0.82675
2001,2nd Quintile,Tenant,Yes,0.09234,153,1548,0.07791,0.10677
2001,2nd Quintile,Tenant,No,0.90766,1395,1548,0.89323,0.92209
2001,3rd Quintile,Owner,Yes,0.18617,240,1169,0.16384,0.20849
2001,3rd Quintile,Owner,No,0.81383,929,1169,0.79151,0.83616
2001,3rd Quintile,Tenant,Yes,0.08516,133,1267,0.06979,0.10054
2001,3rd Quintile,Tenant,No,0.91484,1134,1267,0.89946,0.93021
2001,4th Quintile,Owner,Yes,0.16933,251,1331,0.14917,0.18948
2001,4th Quintile,Owner,No,0.83067,1080,1331,0.81052,0.85083
2001,4th Quintile,Tenant,Yes,0.08055,87,1038,0.06399,0.09712
2001,4th Quintile,Tenant,No,0.91945,951,1038,0.90288,0.93601
2001,5th Quintile,Owner,Yes,0.14820,227,1461,0.12997,0.16642
2001,5th Quintile,Owner,No,0.85180,1234,1461,0.83358,0.87003
2001,5th Quintile,Tenant,Yes,0.07108,56,720,0.05230,0.08986
2001,5th Quintile,Tenant,No,0.92892,664,720,0.91014,0.94770
