year,quintil_oecd_hh,sampreg,hgseval,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,1st Quintile,West,Much Too Small,0.03901,74,1202,0.02806,0.04996
1984,1st Quintile,West,A Bit Too Small,0.13167,205,1202,0.11255,0.15080
1984,1st Quintile,West,Just Right,0.75799,866,1202,0.73377,0.78222
1984,1st Quintile,West,A Bit Too Large,0.06306,57,1202,0.04931,0.07680
1984,2nd Quintile,West,Much Too Small,0.02418,53,1187,0.01544,0.03292
1984,2nd Quintile,West,A Bit Too Small,0.12394,208,1187,0.10519,0.14270
1984,2nd Quintile,West,Just Right,0.76370,858,1187,0.73952,0.78787
1984,2nd Quintile,West,A Bit Too Large,0.07701,68,1187,0.06184,0.09218
1984,3rd Quintile,West,Much Too Small,0.02228,39,1165,0.01380,0.03076
1984,3rd Quintile,West,A Bit Too Small,0.13634,196,1165,0.11663,0.15605
1984,3rd Quintile,West,Just Right,0.75156,852,1165,0.72673,0.77638
1984,3rd Quintile,West,A Bit Too Large,0.08240,78,1165,0.06660,0.09819
1984,4th Quintile,West,Much Too Small,0.01942,31,1171,0.01152,0.02733
1984,4th Quintile,West,A Bit Too Small,0.12320,168,1171,0.10437,0.14203
1984,4th Quintile,West,Just Right,0.75864,892,1171,0.73412,0.78316
1984,4th Quintile,West,A Bit Too Large,0.08519,80,1171,0.06919,0.10119
1984,5th Quintile,West,A Bit Too Small,0.11033,134,1033,0.09122,0.12945
1984,5th Quintile,West,Just Right,0.76497,820,1033,0.73910,0.79084
1984,5th Quintile,West,A Bit Too Large,0.08694,79,1033,0.06975,0.10413
1985,1st Quintile,West,Much Too Small,0.03774,66,1064,0.02629,0.04920
1985,1st Quintile,West,A Bit Too Small,0.12240,183,1064,0.10270,0.14211
1985,1st Quintile,West,Just Right,0.77142,770,1064,0.74617,0.79666
1985,1st Quintile,West,A Bit Too Large,0.05865,45,1064,0.04453,0.07278
1985,2nd Quintile,West,Much Too Small,0.02222,39,1057,0.01333,0.03111
1985,2nd Quintile,West,A Bit Too Small,0.14167,183,1057,0.12064,0.16271
1985,2nd Quintile,West,Just Right,0.75417,782,1057,0.72820,0.78014
1985,2nd Quintile,West,A Bit Too Large,0.06766,53,1057,0.05251,0.08281
1985,3rd Quintile,West,Much Too Small,0.01887,33,1068,0.01071,0.02704
1985,3rd Quintile,West,A Bit Too Small,0.09834,147,1068,0.08047,0.11621
1985,3rd Quintile,West,Just Right,0.81358,827,1068,0.79022,0.83695
1985,3rd Quintile,West,A Bit Too Large,0.06694,61,1068,0.05194,0.08193
1985,4th Quintile,West,A Bit Too Small,0.10747,135,1002,0.08828,0.12665
1985,4th Quintile,West,Just Right,0.75409,781,1002,0.72741,0.78076
1985,4th Quintile,West,A Bit Too Large,0.10297,86,1002,0.08415,0.12180
1985,5th Quintile,West,A Bit Too Small,0.09668,110,945,0.07783,0.11553
1985,5th Quintile,West,Just Right,0.76378,744,945,0.73668,0.79088
1985,5th Quintile,West,A Bit Too Large,0.10621,91,945,0.08656,0.12586
1986,1st Quintile,West,Much Too Small,0.03453,50,977,0.02307,0.04598
1986,1st Quintile,West,A Bit Too Small,0.13400,171,977,0.11263,0.15537
1986,1st Quintile,West,Just Right,0.77474,722,977,0.74853,0.80095
1986,1st Quintile,West,A Bit Too Large,0.04759,34,977,0.03424,0.06095
1986,2nd Quintile,West,A Bit Too Small,0.09815,138,984,0.07955,0.11675
1986,2nd Quintile,West,Just Right,0.80378,787,984,0.77896,0.82861
1986,2nd Quintile,West,A Bit Too Large,0.07703,59,984,0.06036,0.09370
1986,3rd Quintile,West,Much Too Small,0.02190,34,1018,0.01291,0.03090
1986,3rd Quintile,West,A Bit Too Small,0.12935,159,1018,0.10873,0.14998
1986,3rd Quintile,West,Just Right,0.76457,767,1018,0.73850,0.79065
1986,3rd Quintile,West,A Bit Too Large,0.07293,58,1018,0.05695,0.08891
1986,4th Quintile,West,A Bit Too Small,0.10490,125,982,0.08572,0.12407
1986,4th Quintile,West,Just Right,0.77898,782,982,0.75301,0.80495
1986,4th Quintile,West,A Bit Too Large,0.08721,75,982,0.06956,0.10487
1986,5th Quintile,West,A Bit Too Small,0.10875,105,925,0.08868,0.12883
1986,5th Quintile,West,Just Right,0.74580,722,925,0.71773,0.77388
1986,5th Quintile,West,A Bit Too Large,0.12006,98,925,0.09910,0.14101
1987,1st Quintile,West,Much Too Small,0.03143,37,936,0.02024,0.04261
1987,1st Quintile,West,A Bit Too Small,0.12752,168,936,0.10614,0.14890
1987,1st Quintile,West,Just Right,0.76730,683,936,0.74021,0.79438
1987,1st Quintile,West,A Bit Too Large,0.06759,48,936,0.05150,0.08368
1987,2nd Quintile,West,A Bit Too Small,0.10113,135,971,0.08215,0.12010
1987,2nd Quintile,West,Just Right,0.80702,780,971,0.78218,0.83185
1987,2nd Quintile,West,A Bit Too Large,0.07082,56,971,0.05468,0.08696
1987,3rd Quintile,West,A Bit Too Small,0.10951,141,993,0.09007,0.12894
1987,3rd Quintile,West,Just Right,0.80267,798,993,0.77790,0.82744
1987,3rd Quintile,West,A Bit Too Large,0.06441,54,993,0.04914,0.07969
1987,4th Quintile,West,A Bit Too Small,0.11521,130,991,0.09533,0.13510
1987,4th Quintile,West,Just Right,0.77613,787,991,0.75017,0.80210
1987,4th Quintile,West,A Bit Too Large,0.08474,74,991,0.06740,0.10209
1987,5th Quintile,West,A Bit Too Small,0.09161,91,924,0.07300,0.11022
1987,5th Quintile,West,Just Right,0.76393,736,924,0.73653,0.79133
1987,5th Quintile,West,A Bit Too Large,0.12390,97,924,0.10265,0.14516
1988,1st Quintile,West,Much Too Small,0.02269,33,933,0.01313,0.03225
1988,1st Quintile,West,A Bit Too Small,0.12892,159,933,0.10740,0.15043
1988,1st Quintile,West,Just Right,0.78615,703,933,0.75983,0.81248
1988,1st Quintile,West,A Bit Too Large,0.05595,38,933,0.04119,0.07070
1988,2nd Quintile,West,Much Too Small,0.01881,31,958,0.01020,0.02742
1988,2nd Quintile,West,A Bit Too Small,0.09631,122,958,0.07762,0.11500
1988,2nd Quintile,West,Just Right,0.81687,753,958,0.79236,0.84138
