year,quintil_oecd_hh,sampreg,pet_fish,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1996,1st Quintile,West,Yes,0.02693,37,970,0.01674,0.03713
1996,1st Quintile,West,No,0.97307,933,970,0.96287,0.98326
1996,1st Quintile,East,No,0.96337,413,413,0.94522,0.98151
1996,2nd Quintile,West,Yes,0.04271,47,903,0.02952,0.05591
1996,2nd Quintile,West,No,0.95729,856,903,0.94409,0.97048
1996,2nd Quintile,East,Yes,0.08949,48,498,0.06440,0.11459
1996,2nd Quintile,East,No,0.91051,450,498,0.88541,0.93560
1996,3rd Quintile,West,Yes,0.04087,46,948,0.02826,0.05348
1996,3rd Quintile,West,No,0.95913,902,948,0.94652,0.97174
1996,3rd Quintile,East,Yes,0.05892,31,446,0.03705,0.08080
1996,3rd Quintile,East,No,0.94108,415,446,0.91920,0.96295
1996,4th Quintile,West,Yes,0.04459,53,1005,0.03182,0.05735
1996,4th Quintile,West,No,0.95541,952,1005,0.94265,0.96818
1996,4th Quintile,East,No,0.94639,275,275,0.91972,0.97306
1996,5th Quintile,West,Yes,0.03875,45,962,0.02655,0.05096
1996,5th Quintile,West,No,0.96125,917,962,0.94904,0.97345
1996,5th Quintile,East,No,0.93826,149,149,0.89948,0.97704
2001,1st Quintile,West,Yes,0.03681,67,1548,0.02743,0.04619
2001,1st Quintile,West,No,0.96319,1481,1548,0.95381,0.97257
2001,1st Quintile,East,Yes,0.06444,51,683,0.04601,0.08286
2001,1st Quintile,East,No,0.93556,632,683,0.91714,0.95399
2001,2nd Quintile,West,Yes,0.05628,113,1674,0.04524,0.06732
2001,2nd Quintile,West,No,0.94372,1561,1674,0.93268,0.95476
2001,2nd Quintile,East,Yes,0.05812,61,786,0.04175,0.07449
2001,2nd Quintile,East,No,0.94188,725,786,0.92551,0.95825
2001,3rd Quintile,West,Yes,0.05643,118,1763,0.04566,0.06721
2001,3rd Quintile,West,No,0.94357,1645,1763,0.93279,0.95434
2001,3rd Quintile,East,Yes,0.08262,58,673,0.06181,0.10344
2001,3rd Quintile,East,No,0.91738,615,673,0.89656,0.93819
2001,4th Quintile,West,Yes,0.05567,114,1915,0.04540,0.06595
2001,4th Quintile,West,No,0.94433,1801,1915,0.93405,0.95460
2001,4th Quintile,East,Yes,0.09986,48,454,0.07225,0.12746
2001,4th Quintile,East,No,0.90014,406,454,0.87254,0.92775
2001,5th Quintile,West,Yes,0.03714,82,1934,0.02871,0.04557
2001,5th Quintile,West,No,0.96286,1852,1934,0.95443,0.97129
2001,5th Quintile,East,No,0.92968,227,227,0.89634,0.96302
2006,1st Quintile,West,Yes,0.03192,55,1433,0.02282,0.04103
2006,1st Quintile,West,No,0.96808,1378,1433,0.95897,0.97718
2006,1st Quintile,East,Yes,0.06571,54,663,0.04684,0.08459
2006,1st Quintile,East,No,0.93429,609,663,0.91541,0.95316
2006,2nd Quintile,West,Yes,0.04314,85,1491,0.03282,0.05345
2006,2nd Quintile,West,No,0.95686,1406,1491,0.94655,0.96718
2006,2nd Quintile,East,Yes,0.05406,46,731,0.03766,0.07046
2006,2nd Quintile,East,No,0.94594,685,731,0.92954,0.96234
2006,3rd Quintile,West,Yes,0.06674,128,1713,0.05492,0.07856
2006,3rd Quintile,West,No,0.93326,1585,1713,0.92144,0.94508
2006,3rd Quintile,East,Yes,0.10552,67,674,0.08231,0.12873
2006,3rd Quintile,East,No,0.89448,607,674,0.87127,0.91769
2006,4th Quintile,West,Yes,0.05910,128,1984,0.04873,0.06948
2006,4th Quintile,West,No,0.94090,1856,1984,0.93052,0.95127
2006,4th Quintile,East,Yes,0.10621,56,509,0.07941,0.13300
2006,4th Quintile,East,No,0.89379,453,509,0.86700,0.92059
2006,5th Quintile,West,Yes,0.03997,143,2711,0.03260,0.04735
2006,5th Quintile,West,No,0.96003,2568,2711,0.95265,0.96740
2006,5th Quintile,East,No,0.90950,327,327,0.87835,0.94064
2011,1st Quintile,West,Yes,0.01452,53,1539,0.00854,0.02049
