year,bula_h,rentown,hlc0083_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1996,Thuringa,Owner,No,0.96764,127,127,0.93674,0.99854
1996,Thuringa,Tenant,No,0.80349,145,145,0.73858,0.86839
1997,Schleswig-Holstein,Owner,No,0.96107,62,62,0.91253,1.00961
1997,Schleswig-Holstein,Tenant,No,0.92034,60,60,0.85125,0.98943
1997,Hamburg,Tenant,No,0.87485,52,52,0.78403,0.96566
1997,Lower Saxony,Owner,No,0.98218,217,217,0.96454,0.99982
1997,Lower Saxony,Tenant,Yes,0.13880,31,265,0.09709,0.18050
1997,Lower Saxony,Tenant,No,0.86120,234,265,0.81950,0.90291
1997,Bremen,Tenant,No,0.96428,33,33,0.89998,1.02858
1997,North Rhine-Westphalia,Owner,No,0.99641,425,425,0.99072,1.00210
1997,North Rhine-Westphalia,Tenant,Yes,0.07424,71,792,0.05597,0.09251
1997,North Rhine-Westphalia,Tenant,No,0.92576,721,792,0.90749,0.94403
1997,Hesse,Tenant,No,0.94398,254,254,0.91565,0.97232
1997,"Rhineland-Palatinate, Saarland",Owner,No,0.99707,160,160,0.98866,1.00547
1997,"Rhineland-Palatinate, Saarland",Tenant,No,0.90901,160,160,0.86431,0.95371
1997,Baden-Wuerttemberg,Owner,No,0.99118,306,306,0.98068,1.00167
1997,Baden-Wuerttemberg,Tenant,Yes,0.05165,32,480,0.03183,0.07147
1997,Baden-Wuerttemberg,Tenant,No,0.94835,448,480,0.92853,0.96817
1997,Bavaria,Owner,No,0.99138,344,344,0.98159,1.00116
1997,Bavaria,Tenant,No,0.96245,414,414,0.94411,0.98078
1997,Berlin,Tenant,No,0.93807,233,233,0.90706,0.96909
1997,Brandenburg,Owner,No,0.96921,93,93,0.93391,1.00451
1997,Brandenburg,Tenant,No,0.94839,170,170,0.91503,0.98174
1997,Mecklenburg-Western Pomerania,Owner,No,0.98447,59,59,0.95266,1.01629
1997,Mecklenburg-Western Pomerania,Tenant,No,0.83429,110,110,0.76448,0.90409
1997,Saxony,Owner,No,0.97080,128,128,0.94151,1.00008
1997,Saxony,Tenant,No,0.91708,331,331,0.88733,0.94683
1997,Saxony-Anhalt,Owner,No,0.99580,111,111,0.98370,1.00789
1997,Saxony-Anhalt,Tenant,No,0.92616,172,172,0.88696,0.96536
1997,Thuringa,Owner,No,0.96934,126,126,0.93912,0.99956
1997,Thuringa,Tenant,No,0.84415,154,154,0.78668,0.90162
1998,Schleswig-Holstein,Owner,No,0.98513,92,92,0.96026,1.01000
1998,Schleswig-Holstein,Tenant,No,0.88875,74,74,0.81662,0.96088
1998,Hamburg,Tenant,No,0.91622,75,75,0.85310,0.97935
1998,Lower Saxony,Owner,No,0.98086,279,279,0.96475,0.99697
1998,Lower Saxony,Tenant,Yes,0.12304,39,309,0.08635,0.15972
1998,Lower Saxony,Tenant,No,0.87696,270,309,0.84028,0.91365
1998,Bremen,Tenant,No,0.97444,40,40,0.92491,1.02397
1998,North Rhine-Westphalia,Owner,No,0.99561,503,503,0.98983,1.00139
1998,North Rhine-Westphalia,Tenant,Yes,0.07397,69,930,0.05714,0.09080
1998,North Rhine-Westphalia,Tenant,No,0.92603,861,930,0.90920,0.94286
1998,Hesse,Tenant,No,0.93777,276,276,0.90922,0.96632
1998,"Rhineland-Palatinate, Saarland",Owner,No,0.99529,193,193,0.98560,1.00497
1998,"Rhineland-Palatinate, Saarland",Tenant,No,0.90825,190,190,0.86710,0.94941
1998,Baden-Wuerttemberg,Owner,No,0.99409,371,371,0.98629,1.00190
1998,Baden-Wuerttemberg,Tenant,Yes,0.08665,52,520,0.06245,0.11085
1998,Baden-Wuerttemberg,Tenant,No,0.91335,468,520,0.88915,0.93755
1998,Bavaria,Owner,No,0.99789,444,444,0.99362,1.00216
1998,Bavaria,Tenant,No,0.94639,474,474,0.92609,0.96669
1998,Berlin,Tenant,No,0.94361,265,265,0.91578,0.97144
1998,Brandenburg,Owner,No,0.95201,109,109,0.91170,0.99232
1998,Brandenburg,Tenant,No,0.88541,173,173,0.83780,0.93301
1998,Mecklenburg-Western Pomerania,Tenant,No,0.79769,103,103,0.71973,0.87565
1998,Saxony,Owner,No,0.96115,157,157,0.93083,0.99148
1998,Saxony,Tenant,Yes,0.10059,35,389,0.07066,0.13051
1998,Saxony,Tenant,No,0.89941,354,389,0.86949,0.92934
1998,Saxony-Anhalt,Owner,No,0.98856,116,116,0.96912,1.00800
1998,Saxony-Anhalt,Tenant,No,0.87829,194,194,0.83217,0.92442
1998,Thuringa,Owner,No,0.99240,158,158,0.97882,1.00598
1998,Thuringa,Tenant,No,0.79557,147,147,0.73015,0.86099
1999,Schleswig-Holstein,Owner,No,0.99298,93,93,0.97592,1.01004
1999,Schleswig-Holstein,Tenant,No,0.86667,73,73,0.78815,0.94519
1999,Hamburg,Tenant,No,0.89655,65,65,0.82194,0.97116
1999,Lower Saxony,Owner,No,0.98653,287,287,0.97317,0.99989
1999,Lower Saxony,Tenant,No,0.91376,281,281,0.88088,0.94664
1999,Bremen,Tenant,No,0.95974,37,37,0.89553,1.02395
1999,North Rhine-Westphalia,Owner,No,0.98955,510,510,0.98072,0.99839
1999,North Rhine-Westphalia,Tenant,Yes,0.04709,49,903,0.03327,0.06092
1999,North Rhine-Westphalia,Tenant,No,0.95291,854,903,0.93908,0.96673
1999,Hesse,Tenant,No,0.95121,264,264,0.92518,0.97725
1999,"Rhineland-Palatinate, Saarland",Tenant,No,0.90346,185,185,0.86079,0.94614
1999,Baden-Wuerttemberg,Owner,No,0.99661,364,364,0.99064,1.00259
1999,Baden-Wuerttemberg,Tenant,Yes,0.08107,48,517,0.05752,0.10463
1999,Baden-Wuerttemberg,Tenant,No,0.91893,469,517,0.89537,0.94248
1999,Bavaria,Owner,No,0.99023,460,460,0.98124,0.99923
1999,Bavaria,Tenant,No,0.94440,450,450,0.92321,0.96560
1999,Berlin,Tenant,No,0.97131,268,268,0.95129,0.99134
1999,Brandenburg,Owner,No,0.97849,119,119,0.95232,1.00467
1999,Brandenburg,Tenant,No,0.84334,160,160,0.78685,0.89984
1999,Mecklenburg-Western Pomerania,Owner,No,0.97990,71,71,0.94702,1.01278
1999,Mecklenburg-Western Pomerania,Tenant,No,0.77210,106,106,0.69186,0.85234
1999,Saxony,Owner,No,0.97883,177,177,0.95756,1.00010
1999,Saxony,Tenant,No,0.92388,375,375,0.89701,0.95076
1999,Saxony-Anhalt,Owner,No,0.98452,126,126,0.96287,1.00616
1999,Saxony-Anhalt,Tenant,No,0.90238,199,199,0.86104,0.94372
1999,Thuringa,Owner,No,0.97164,162,162,0.94599,0.99728
1999,Thuringa,Tenant,No,0.85428,159,159,0.79927,0.90930
2000,Schleswig-Holstein,Owner,No,0.99286,226,226,0.98186,1.00386
2000,Schleswig-Holstein,Tenant,No,0.91386,160,160,0.87025,0.95747
2000,Hamburg,Tenant,No,0.93998,145,145,0.90118,0.97877
2000,Lower Saxony,Owner,No,0.99649,575,575,0.99165,1.00133
2000,Lower Saxony,Tenant,Yes,0.07415,43,505,0.05127,0.09702
2000,Lower Saxony,Tenant,No,0.92585,462,505,0.90298,0.94873
2000,Bremen,Tenant,No,0.86949,63,63,0.78564,0.95334
2000,North Rhine-Westphalia,Owner,No,0.99862,1161,1161,0.99649,1.00076
2000,North Rhine-Westphalia,Tenant,Yes,0.05630,98,1608,0.04503,0.06757
2000,North Rhine-Westphalia,Tenant,No,0.94370,1510,1608,0.93243,0.95497
2000,Hesse,Owner,No,0.99514,403,403,0.98834,1.00194
2000,Hesse,Tenant,Yes,0.05708,34,492,0.03656,0.07761
2000,Hesse,Tenant,No,0.94292,458,492,0.92239,0.96344
2000,"Rhineland-Palatinate, Saarland",Owner,No,0.99369,441,441,0.98628,1.00109
2000,"Rhineland-Palatinate, Saarland",Tenant,No,0.93281,313,313,0.90504,0.96059
2000,Baden-Wuerttemberg,Owner,No,0.99775,753,753,0.99436,1.00114
2000,Baden-Wuerttemberg,Tenant,Yes,0.06199,54,786,0.04512,0.07886
2000,Baden-Wuerttemberg,Tenant,No,0.93801,732,786,0.92114,0.95488
2000,Bavaria,Owner,No,0.99824,967,967,0.99560,1.00088
2000,Bavaria,Tenant,No,0.96855,813,813,0.95655,0.98056
2000,Berlin,Tenant,Yes,0.06186,31,452,0.03963,0.08410
2000,Berlin,Tenant,No,0.93814,421,452,0.91590,0.96037
2000,Brandenburg,Owner,No,0.99793,209,209,0.99175,1.00411
2000,Brandenburg,Tenant,Yes,0.08700,31,325,0.05631,0.11768
2000,Brandenburg,Tenant,No,0.91300,294,325,0.88232,0.94369
2000,Mecklenburg-Western Pomerania,Owner,No,0.95276,108,108,0.91256,0.99296
2000,Mecklenburg-Western Pomerania,Tenant,No,0.86863,175,175,0.81844,0.91883
2000,Saxony,Owner,No,0.98813,316,316,0.97617,1.00009
2000,Saxony,Tenant,Yes,0.08644,55,601,0.06396,0.10893
2000,Saxony,Tenant,No,0.91356,546,601,0.89107,0.93604
2000,Saxony-Anhalt,Owner,No,0.99219,236,236,0.98094,1.00345
2000,Saxony-Anhalt,Tenant,Yes,0.13257,42,299,0.09407,0.17108
2000,Saxony-Anhalt,Tenant,No,0.86743,257,299,0.82892,0.90593
2000,Thuringa,Owner,No,0.98062,254,254,0.96364,0.99761
2000,Thuringa,Tenant,Yes,0.11729,32,277,0.07932,0.15525
2000,Thuringa,Tenant,No,0.88271,245,277,0.84475,0.92068
2001,Schleswig-Holstein,Owner,No,0.98484,205,205,0.96807,1.00161
2001,Schleswig-Holstein,Tenant,No,0.92759,143,143,0.88496,0.97022
2001,Hamburg,Tenant,No,0.96584,138,138,0.93542,0.99625
2001,Lower Saxony,Owner,No,0.99465,519,519,0.98837,1.00093
2001,Lower Saxony,Tenant,No,0.94625,411,411,0.92442,0.96808
2001,Bremen,Owner,No,0.97403,37,37,0.92208,1.02599
2001,Bremen,Tenant,No,0.86579,54,54,0.77401,0.95756
2001,North Rhine-Westphalia,Owner,No,0.99571,1041,1041,0.99173,0.99968
2001,North Rhine-Westphalia,Tenant,Yes,0.05087,74,1438,0.03951,0.06223
2001,North Rhine-Westphalia,Tenant,No,0.94913,1364,1438,0.93777,0.96049
2001,Hesse,Tenant,No,0.95432,398,398,0.93378,0.97486
2001,"Rhineland-Palatinate, Saarland",Owner,No,0.99439,408,408,0.98713,1.00165
2001,"Rhineland-Palatinate, Saarland",Tenant,No,0.94857,292,292,0.92319,0.97395
2001,Baden-Wuerttemberg,Owner,No,0.99682,631,631,0.99242,1.00122
2001,Baden-Wuerttemberg,Tenant,Yes,0.03773,33,728,0.02388,0.05158
2001,Baden-Wuerttemberg,Tenant,No,0.96227,695,728,0.94842,0.97612
2001,Bavaria,Owner,No,0.99976,863,863,0.99873,1.00079
2001,Bavaria,Tenant,No,0.97240,728,728,0.96049,0.98431
2001,Berlin,Tenant,No,0.94616,396,396,0.92390,0.96842
2001,Brandenburg,Tenant,No,0.92048,274,274,0.88839,0.95258
2001,Mecklenburg-Western Pomerania,Owner,No,0.97796,101,101,0.94919,1.00674
2001,Mecklenburg-Western Pomerania,Tenant,No,0.84996,157,157,0.79392,0.90600
2001,Saxony,Owner,No,0.98551,303,303,0.97203,0.99899
2001,Saxony,Tenant,Yes,0.07483,41,540,0.05261,0.09704
2001,Saxony,Tenant,No,0.92517,499,540,0.90296,0.94739
2001,Saxony-Anhalt,Owner,No,0.99363,231,231,0.98335,1.00391
2001,Saxony-Anhalt,Tenant,Yes,0.11293,31,272,0.07525,0.15062
2001,Saxony-Anhalt,Tenant,No,0.88707,241,272,0.84938,0.92475
2001,Thuringa,Owner,No,0.99178,239,239,0.98030,1.00325
2001,Thuringa,Tenant,No,0.89855,222,222,0.85874,0.93836
2002,Schleswig-Holstein,Owner,No,0.99216,226,226,0.98064,1.00368
2002,Schleswig-Holstein,Tenant,No,0.91849,154,154,0.87513,0.96184
2002,Hamburg,Tenant,No,0.96556,131,131,0.93422,0.99691
2002,Lower Saxony,Owner,No,0.98386,588,588,0.97367,0.99406
2002,Lower Saxony,Tenant,Yes,0.08308,34,431,0.05699,0.10916
2002,Lower Saxony,Tenant,No,0.91692,397,431,0.89084,0.94301
2002,Bremen,Owner,No,0.97380,49,49,0.92861,1.01899
2002,Bremen,Tenant,No,0.93079,50,50,0.85973,1.00186
2002,North Rhine-Westphalia,Owner,No,0.99702,1189,1189,0.99392,1.00012
2002,North Rhine-Westphalia,Tenant,Yes,0.05151,70,1400,0.03993,0.06310
2002,North Rhine-Westphalia,Tenant,No,0.94849,1330,1400,0.93690,0.96007
2002,Hesse,Tenant,No,0.95065,425,425,0.93003,0.97127
2002,"Rhineland-Palatinate, Saarland",Owner,No,0.99588,433,433,0.98984,1.00192
2002,"Rhineland-Palatinate, Saarland",Tenant,No,0.93637,279,279,0.90767,0.96506
2002,Baden-Wuerttemberg,Tenant,Yes,0.04697,34,715,0.03145,0.06248
2002,Baden-Wuerttemberg,Tenant,No,0.95303,681,715,0.93752,0.96855
2002,Bavaria,Owner,No,0.99714,958,958,0.99375,1.00052
2002,Bavaria,Tenant,No,0.95922,738,738,0.94494,0.97350
2002,Berlin,Tenant,No,0.95458,404,404,0.93425,0.97491
2002,Brandenburg,Tenant,No,0.93078,284,284,0.90121,0.96035
2002,Mecklenburg-Western Pomerania,Owner,No,0.97339,108,108,0.94289,1.00388
2002,Mecklenburg-Western Pomerania,Tenant,No,0.88360,152,152,0.83244,0.93475
2002,Saxony,Owner,No,0.98799,317,317,0.97598,1.00000
2002,Saxony,Tenant,Yes,0.10059,47,528,0.07491,0.12627
2002,Saxony,Tenant,No,0.89941,481,528,0.87373,0.92509
2002,Saxony-Anhalt,Owner,No,0.99232,222,222,0.98080,1.00383
2002,Saxony-Anhalt,Tenant,No,0.89117,249,249,0.85241,0.92993
2002,Thuringa,Owner,No,0.99455,241,241,0.98524,1.00386
2002,Thuringa,Tenant,No,0.91389,226,226,0.87724,0.95055
2003,Schleswig-Holstein,Owner,No,0.99643,218,218,0.98850,1.00437
2003,Schleswig-Holstein,Tenant,No,0.88430,135,135,0.83015,0.93846
2003,Hamburg,Tenant,No,0.97368,124,124,0.94539,1.00197
2003,Lower Saxony,Owner,No,0.99538,568,568,0.98980,1.00096
2003,Lower Saxony,Tenant,Yes,0.10459,40,410,0.07493,0.13425
2003,Lower Saxony,Tenant,No,0.89541,370,410,0.86575,0.92507
2003,Bremen,Owner,No,0.97250,45,45,0.92418,1.02082
2003,Bremen,Tenant,No,0.93749,52,52,0.87106,1.00393
2003,North Rhine-Westphalia,Owner,No,0.99676,1146,1146,0.99347,1.00005
2003,North Rhine-Westphalia,Tenant,Yes,0.05901,74,1354,0.04646,0.07157
2003,North Rhine-Westphalia,Tenant,No,0.94099,1280,1354,0.92843,0.95354
2003,Hesse,Tenant,No,0.94867,386,386,0.92663,0.97071
2003,"Rhineland-Palatinate, Saarland",Owner,No,0.98582,419,419,0.97449,0.99716
2003,"Rhineland-Palatinate, Saarland",Tenant,No,0.91460,280,280,0.88181,0.94739
2003,Baden-Wuerttemberg,Tenant,Yes,0.05827,38,687,0.04074,0.07580
2003,Baden-Wuerttemberg,Tenant,No,0.94173,649,687,0.92420,0.95926
2003,Bavaria,Owner,No,0.99816,911,911,0.99538,1.00095
2003,Bavaria,Tenant,No,0.96299,709,709,0.94908,0.97689
2003,Berlin,Tenant,No,0.94108,394,394,0.91779,0.96436
2003,Brandenburg,Tenant,Yes,0.09138,33,295,0.05844,0.12431
2003,Brandenburg,Tenant,No,0.90862,262,295,0.87569,0.94156
2003,Mecklenburg-Western Pomerania,Tenant,No,0.87302,147,147,0.81901,0.92703
2003,Saxony,Owner,No,0.97584,309,309,0.95870,0.99299
2003,Saxony,Tenant,Yes,0.12374,56,523,0.09549,0.15199
2003,Saxony,Tenant,No,0.87626,467,523,0.84801,0.90451
2003,Saxony-Anhalt,Owner,No,0.98670,218,218,0.97145,1.00194
2003,Saxony-Anhalt,Tenant,Yes,0.12205,32,270,0.08293,0.16116
2003,Saxony-Anhalt,Tenant,No,0.87795,238,270,0.83884,0.91707
2003,Thuringa,Owner,No,0.99336,233,233,0.98292,1.00381
2003,Thuringa,Tenant,No,0.94201,229,229,0.91167,0.97235
2004,Schleswig-Holstein,Owner,No,0.99646,214,214,0.98848,1.00444
2004,Schleswig-Holstein,Tenant,No,0.90568,135,135,0.85619,0.95517
2004,Hamburg,Tenant,No,0.97465,123,123,0.94675,1.00254
2004,Lower Saxony,Owner,No,0.97949,568,568,0.96782,0.99116
2004,Lower Saxony,Tenant,Yes,0.08667,35,408,0.05933,0.11400
2004,Lower Saxony,Tenant,No,0.91333,373,408,0.88600,0.94067
2004,Bremen,Owner,No,0.97264,43,43,0.92331,1.02198
2004,Bremen,Tenant,No,0.89464,46,46,0.80493,0.98434
2004,North Rhine-Westphalia,Owner,No,0.99733,1126,1126,0.99431,1.00034
2004,North Rhine-Westphalia,Tenant,Yes,0.06091,75,1301,0.04791,0.07391
2004,North Rhine-Westphalia,Tenant,No,0.93909,1226,1301,0.92609,0.95209
2004,Hesse,Tenant,No,0.95063,380,380,0.92882,0.97244
2004,"Rhineland-Palatinate, Saarland",Tenant,No,0.91810,279,279,0.88587,0.95034
2004,Baden-Wuerttemberg,Tenant,Yes,0.06645,40,661,0.04744,0.08545
2004,Baden-Wuerttemberg,Tenant,No,0.93355,621,661,0.91455,0.95256
2004,Bavaria,Owner,No,0.99805,889,889,0.99514,1.00095
2004,Bavaria,Tenant,No,0.95875,696,696,0.94396,0.97353
2004,Berlin,Tenant,Yes,0.10885,33,405,0.07848,0.13922
2004,Berlin,Tenant,No,0.89115,372,405,0.86078,0.92152
2004,Brandenburg,Owner,No,0.98878,192,192,0.97385,1.00372
2004,Brandenburg,Tenant,Yes,0.11113,36,289,0.07483,0.14742
2004,Brandenburg,Tenant,No,0.88887,253,289,0.85258,0.92517
2004,Mecklenburg-Western Pomerania,Owner,No,0.94023,113,113,0.89633,0.98414
2004,Mecklenburg-Western Pomerania,Tenant,No,0.87748,144,144,0.82374,0.93122
2004,Saxony,Owner,No,0.97005,306,306,0.95092,0.98918
2004,Saxony,Tenant,Yes,0.12708,51,505,0.09800,0.15615
2004,Saxony,Tenant,No,0.87292,454,505,0.84385,0.90200
2004,Saxony-Anhalt,Owner,No,0.98858,221,221,0.97454,1.00262
2004,Saxony-Anhalt,Tenant,Yes,0.14973,32,258,0.10611,0.19336
2004,Saxony-Anhalt,Tenant,No,0.85027,226,258,0.80664,0.89389
2004,Thuringa,Owner,No,0.98148,230,230,0.96401,0.99894
2004,Thuringa,Tenant,No,0.87464,217,217,0.83048,0.91880
2005,Schleswig-Holstein,Owner,No,0.98919,201,201,0.97486,1.00352
2005,Schleswig-Holstein,Tenant,No,0.92816,144,144,0.88584,0.97049
2005,Hamburg,Tenant,No,0.96953,127,127,0.93952,0.99954
2005,Lower Saxony,Owner,No,0.97916,560,560,0.96732,0.99100
2005,Lower Saxony,Tenant,No,0.96882,363,363,0.95092,0.98673
2005,Bremen,Tenant,No,0.98918,47,47,0.95929,1.01908
2005,North Rhine-Westphalia,Owner,No,0.99970,1086,1086,0.99866,1.00073
2005,North Rhine-Westphalia,Tenant,Yes,0.05289,68,1276,0.04060,0.06517
2005,North Rhine-Westphalia,Tenant,No,0.94711,1208,1276,0.93483,0.95940
2005,Hesse,Tenant,No,0.95796,380,380,0.93775,0.97816
2005,"Rhineland-Palatinate, Saarland",Tenant,No,0.96165,279,279,0.93908,0.98423
2005,Baden-Wuerttemberg,Tenant,Yes,0.04555,33,649,0.02950,0.06161
2005,Baden-Wuerttemberg,Tenant,No,0.95445,616,649,0.93839,0.97050
2005,Bavaria,Owner,No,0.99496,851,851,0.99019,0.99972
2005,Bavaria,Tenant,No,0.96199,677,677,0.94758,0.97641
2005,Berlin,Owner,No,0.97714,77,77,0.94354,1.01074
2005,Berlin,Tenant,No,0.95651,363,363,0.93551,0.97752
2005,Brandenburg,Owner,No,0.98597,183,183,0.96888,1.00306
2005,Brandenburg,Tenant,No,0.94421,264,264,0.91647,0.97195
2005,Mecklenburg-Western Pomerania,Owner,No,0.93708,113,113,0.89210,0.98205
2005,Mecklenburg-Western Pomerania,Tenant,No,0.91429,141,141,0.86792,0.96066
2005,Saxony,Owner,No,0.97624,318,318,0.95948,0.99301
2005,Saxony,Tenant,Yes,0.12196,51,487,0.09287,0.15106
2005,Saxony,Tenant,No,0.87804,436,487,0.84894,0.90713
2005,Saxony-Anhalt,Owner,No,0.99478,222,222,0.98528,1.00428
2005,Saxony-Anhalt,Tenant,No,0.93254,231,231,0.90012,0.96495
2005,Thuringa,Owner,No,0.98780,229,229,0.97355,1.00205
2005,Thuringa,Tenant,No,0.91291,213,213,0.87495,0.95086
2006,Schleswig-Holstein,Owner,No,0.99940,214,214,0.99610,1.00269
2006,Schleswig-Holstein,Tenant,No,0.93469,163,163,0.89664,0.97274
2006,Hamburg,Tenant,No,0.97584,142,142,0.95050,1.00119
2006,Lower Saxony,Owner,No,0.99241,635,635,0.98565,0.99916
2006,Lower Saxony,Tenant,No,0.95601,414,414,0.93623,0.97579
2006,Bremen,Tenant,No,0.95777,52,52,0.90258,1.01297
2006,North Rhine-Westphalia,Owner,No,0.99722,1200,1200,0.99424,1.00020
2006,North Rhine-Westphalia,Tenant,Yes,0.04799,63,1334,0.03652,0.05947
2006,North Rhine-Westphalia,Tenant,No,0.95201,1271,1334,0.94053,0.96348
2006,Hesse,Tenant,No,0.97761,408,408,0.96324,0.99198
2006,"Rhineland-Palatinate, Saarland",Tenant,No,0.93586,300,300,0.90809,0.96363
2006,Baden-Wuerttemberg,Tenant,Yes,0.05098,34,687,0.03452,0.06744
2006,Baden-Wuerttemberg,Tenant,No,0.94902,653,687,0.93256,0.96548
2006,Bavaria,Owner,No,0.99695,968,968,0.99347,1.00043
2006,Bavaria,Tenant,No,0.95623,735,735,0.94143,0.97103
2006,Berlin,Owner,No,0.97649,85,85,0.94409,1.00889
2006,Berlin,Tenant,No,0.97465,389,389,0.95902,0.99029
2006,Brandenburg,Owner,No,0.99025,215,215,0.97708,1.00341
2006,Brandenburg,Tenant,No,0.93289,289,289,0.90399,0.96179
2006,Mecklenburg-Western Pomerania,Owner,No,0.95051,132,132,0.91337,0.98765
2006,Mecklenburg-Western Pomerania,Tenant,No,0.89841,150,150,0.84990,0.94692
2006,Saxony,Owner,No,0.96909,338,338,0.95061,0.98757
2006,Saxony,Tenant,Yes,0.08520,41,534,0.06149,0.10890
2006,Saxony,Tenant,No,0.91480,493,534,0.89110,0.93851
2006,Saxony-Anhalt,Owner,No,0.99473,221,221,0.98517,1.00430
2006,Saxony-Anhalt,Tenant,No,0.92279,249,249,0.88957,0.95601
2006,Thuringa,Owner,No,0.99302,262,262,0.98292,1.00312
2006,Thuringa,Tenant,No,0.91603,232,232,0.88027,0.95180
2007,Schleswig-Holstein,Tenant,No,0.92583,158,158,0.88483,0.96682
2007,Hamburg,Tenant,No,0.98414,140,140,0.96337,1.00491
2007,Lower Saxony,Owner,No,0.99746,592,592,0.99341,1.00152
2007,Lower Saxony,Tenant,No,0.93557,388,388,0.91111,0.96003
2007,North Rhine-Westphalia,Owner,No,0.99617,1113,1113,0.99254,0.99980
