year,bula_h,regtyp,pet_cat,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1996,Schleswig-Holstein,Urban regions,No,0.89214,61,61,0.81365,0.97064
1996,Schleswig-Holstein,Rural regions,No,0.89715,66,66,0.82330,0.97100
1996,Hamburg,Urban regions,No,0.91444,72,72,0.84938,0.97950
1996,Lower Saxony,Urban regions,No,0.92779,257,257,0.89608,0.95950
1996,Lower Saxony,Rural regions,Yes,0.15503,39,253,0.11034,0.19971
1996,Lower Saxony,Rural regions,No,0.84497,214,253,0.80029,0.88966
1996,Bremen,Urban regions,No,0.91140,46,46,0.82837,0.99443
1996,North Rhine-Westphalia,Urban regions,Yes,0.10942,139,1257,0.09216,0.12669
1996,North Rhine-Westphalia,Urban regions,No,0.89058,1118,1257,0.87331,0.90784
1996,Hesse,Urban regions,Yes,0.11980,40,393,0.08765,0.15194
1996,Hesse,Urban regions,No,0.88020,353,393,0.84806,0.91235
1996,Hesse,Rural regions,No,0.86698,64,64,0.78312,0.95084
1996,"Rhineland-Palatinate, Saarland",Urban regions,Yes,0.16181,46,288,0.11921,0.20442
1996,"Rhineland-Palatinate, Saarland",Urban regions,No,0.83819,242,288,0.79558,0.88079
1996,"Rhineland-Palatinate, Saarland",Rural regions,No,0.82454,47,47,0.71462,0.93446
1996,Baden-Wuerttemberg,Urban regions,Yes,0.11623,81,734,0.09303,0.13943
1996,Baden-Wuerttemberg,Urban regions,No,0.88377,653,734,0.86057,0.90697
1996,Baden-Wuerttemberg,Rural regions,No,0.89677,93,93,0.83459,0.95894
1996,Bavaria,Urban regions,Yes,0.09965,46,441,0.07166,0.12764
1996,Bavaria,Urban regions,No,0.90035,395,441,0.87236,0.92834
1996,Bavaria,Rural regions,Yes,0.14997,73,420,0.11578,0.18415
1996,Bavaria,Rural regions,No,0.85003,347,420,0.81585,0.88422
1996,Berlin,Urban regions,Yes,0.15997,45,310,0.11909,0.20084
1996,Berlin,Urban regions,No,0.84003,265,310,0.79916,0.88091
1996,Brandenburg,Rural regions,Yes,0.25170,72,282,0.20096,0.30245
1996,Brandenburg,Rural regions,No,0.74830,210,282,0.69755,0.79904
1996,Mecklenburg-Western Pomerania,Rural regions,Yes,0.23912,39,173,0.17538,0.30287
1996,Mecklenburg-Western Pomerania,Rural regions,No,0.76088,134,173,0.69713,0.82462
1996,Saxony,Urban regions,Yes,0.13257,42,289,0.09340,0.17173
1996,Saxony,Urban regions,No,0.86743,247,289,0.82827,0.90660
1996,Saxony,Rural regions,Yes,0.20291,59,259,0.15383,0.25198
1996,Saxony,Rural regions,No,0.79709,200,259,0.74802,0.84617
1996,Saxony-Anhalt,Urban regions,No,0.93494,69,69,0.87632,0.99356
1996,Saxony-Anhalt,Rural regions,Yes,0.20898,52,254,0.15888,0.25908
1996,Saxony-Anhalt,Rural regions,No,0.79102,202,254,0.74092,0.84112
1996,Thuringa,Urban regions,No,0.89380,82,82,0.82670,0.96090
1996,Thuringa,Rural regions,Yes,0.19067,53,232,0.14001,0.24132
1996,Thuringa,Rural regions,No,0.80933,179,232,0.75868,0.85999
2001,Schleswig-Holstein,Urban regions,No,0.88556,137,137,0.83205,0.93906
2001,Schleswig-Holstein,Rural regions,Yes,0.15956,36,206,0.10943,0.20969
2001,Schleswig-Holstein,Rural regions,No,0.84044,170,206,0.79031,0.89057
2001,Hamburg,Urban regions,No,0.89647,161,161,0.84927,0.94368
2001,Lower Saxony,Urban regions,Yes,0.11837,58,482,0.08950,0.14724
2001,Lower Saxony,Urban regions,No,0.88163,424,482,0.85276,0.91050
2001,Lower Saxony,Rural regions,Yes,0.18183,95,479,0.14725,0.21641
2001,Lower Saxony,Rural regions,No,0.81817,384,479,0.78359,0.85275
2001,Bremen,Urban regions,No,0.90413,85,85,0.84117,0.96709
2001,North Rhine-Westphalia,Urban regions,Yes,0.10824,283,2425,0.09587,0.12061
2001,North Rhine-Westphalia,Urban regions,No,0.89176,2142,2425,0.87939,0.90413
2001,North Rhine-Westphalia,Rural regions,No,0.98116,58,58,0.94586,1.01646
2001,Hesse,Urban regions,Yes,0.10618,73,630,0.08210,0.13026
2001,Hesse,Urban regions,No,0.89382,557,630,0.86974,0.91790
2001,Hesse,Rural regions,Yes,0.19682,31,149,0.13277,0.26088
2001,Hesse,Rural regions,No,0.80318,118,149,0.73912,0.86723
2001,"Rhineland-Palatinate, Saarland",Urban regions,Yes,0.15498,91,550,0.12471,0.18525
2001,"Rhineland-Palatinate, Saarland",Urban regions,No,0.84502,459,550,0.81475,0.87529
2001,"Rhineland-Palatinate, Saarland",Rural regions,Yes,0.21325,40,170,0.15149,0.27500
2001,"Rhineland-Palatinate, Saarland",Rural regions,No,0.78675,130,170,0.72500,0.84851
2001,Baden-Wuerttemberg,Urban regions,Yes,0.14883,184,1228,0.12891,0.16874
2001,Baden-Wuerttemberg,Urban regions,No,0.85117,1044,1228,0.83126,0.87109
2001,Baden-Wuerttemberg,Rural regions,No,0.88582,118,118,0.82820,0.94345
2001,Bavaria,Urban regions,Yes,0.12122,112,805,0.09866,0.14378
2001,Bavaria,Urban regions,No,0.87878,693,805,0.85622,0.90134
2001,Bavaria,Rural regions,Yes,0.19732,183,811,0.16991,0.22472
2001,Bavaria,Rural regions,No,0.80268,628,811,0.77528,0.83009
2001,Berlin,Urban regions,Yes,0.14065,64,481,0.10955,0.17175
2001,Berlin,Urban regions,No,0.85935,417,481,0.82825,0.89045
2001,Brandenburg,Urban regions,No,0.94854,35,35,0.87428,1.02281
2001,Brandenburg,Rural regions,Yes,0.28932,139,463,0.24797,0.33067
2001,Brandenburg,Rural regions,No,0.71068,324,463,0.66933,0.75203
2001,Mecklenburg-Western Pomerania,Urban regions,No,0.90781,35,35,0.81057,1.00505
2001,Mecklenburg-Western Pomerania,Rural regions,Yes,0.20721,54,245,0.15635,0.25807
2001,Mecklenburg-Western Pomerania,Rural regions,No,0.79279,191,245,0.74193,0.84365
2001,Saxony,Urban regions,Yes,0.18324,81,420,0.14620,0.22029
2001,Saxony,Urban regions,No,0.81676,339,420,0.77971,0.85380
2001,Saxony,Rural regions,Yes,0.22965,111,429,0.18980,0.26950
2001,Saxony,Rural regions,No,0.77035,318,429,0.73050,0.81020
2001,Saxony-Anhalt,Urban regions,No,0.85491,90,90,0.78174,0.92808
2001,Saxony-Anhalt,Rural regions,Yes,0.23304,106,401,0.19161,0.27447
2001,Saxony-Anhalt,Rural regions,No,0.76696,295,401,0.72553,0.80839
2001,Thuringa,Urban regions,No,0.86129,118,118,0.79866,0.92392
2001,Thuringa,Rural regions,Yes,0.26388,100,350,0.21764,0.31012
2001,Thuringa,Rural regions,No,0.73612,250,350,0.68988,0.78236
2006,Schleswig-Holstein,Urban regions,No,0.88185,141,141,0.82838,0.93532
2006,Schleswig-Holstein,Rural regions,Yes,0.21847,53,230,0.16495,0.27199
2006,Schleswig-Holstein,Rural regions,No,0.78153,177,230,0.72801,0.83505
2006,Hamburg,Urban regions,No,0.90878,175,175,0.86600,0.95156
2006,Lower Saxony,Urban regions,Yes,0.10449,69,526,0.07833,0.13066
2006,Lower Saxony,Urban regions,No,0.89551,457,526,0.86934,0.92167
2006,Lower Saxony,Rural regions,Yes,0.17380,97,548,0.14204,0.20556
2006,Lower Saxony,Rural regions,No,0.82620,451,548,0.79444,0.85796
2006,Bremen,Urban regions,No,0.89022,75,75,0.81899,0.96145
2006,North Rhine-Westphalia,Urban regions,Yes,0.11905,315,2474,0.10629,0.13181
2006,North Rhine-Westphalia,Urban regions,No,0.88095,2159,2474,0.86819,0.89371
2006,North Rhine-Westphalia,Rural regions,No,0.92840,58,58,0.86146,0.99533
2006,Hesse,Urban regions,Yes,0.12132,96,691,0.09696,0.14568
2006,Hesse,Urban regions,No,0.87868,595,691,0.85432,0.90304
2006,Hesse,Rural regions,Yes,0.21849,36,155,0.15322,0.28375
2006,Hesse,Rural regions,No,0.78151,119,155,0.71625,0.84678
2006,"Rhineland-Palatinate, Saarland",Urban regions,Yes,0.16153,90,551,0.13077,0.19229
2006,"Rhineland-Palatinate, Saarland",Urban regions,No,0.83847,461,551,0.80771,0.86923
2006,"Rhineland-Palatinate, Saarland",Rural regions,Yes,0.21446,46,176,0.15365,0.27527
2006,"Rhineland-Palatinate, Saarland",Rural regions,No,0.78554,130,176,0.72473,0.84635
2006,Baden-Wuerttemberg,Urban regions,Yes,0.12560,185,1348,0.10790,0.14330
2006,Baden-Wuerttemberg,Urban regions,No,0.87440,1163,1348,0.85670,0.89210
2006,Baden-Wuerttemberg,Rural regions,No,0.78593,102,102,0.70593,0.86592
2006,Bavaria,Urban regions,Yes,0.12671,128,867,0.10455,0.14886
2006,Bavaria,Urban regions,No,0.87329,739,867,0.85114,0.89545
2006,Bavaria,Rural regions,Yes,0.21557,205,863,0.18812,0.24303
2006,Bavaria,Rural regions,No,0.78443,658,863,0.75697,0.81188
2006,Berlin,Urban regions,Yes,0.10276,67,484,0.07568,0.12984
2006,Berlin,Urban regions,No,0.89724,417,484,0.87016,0.92432
2006,Brandenburg,Urban regions,No,0.94548,43,43,0.87682,1.01415
2006,Brandenburg,Rural regions,Yes,0.28449,141,486,0.24434,0.32465
2006,Brandenburg,Rural regions,No,0.71551,345,486,0.67535,0.75566
2006,Mecklenburg-Western Pomerania,Urban regions,No,0.94181,36,36,0.86425,1.01937
2006,Mecklenburg-Western Pomerania,Rural regions,Yes,0.19020,55,264,0.14277,0.23764
2006,Mecklenburg-Western Pomerania,Rural regions,No,0.80980,209,264,0.76236,0.85723
2006,Saxony,Urban regions,Yes,0.17097,87,455,0.13634,0.20560
2006,Saxony,Urban regions,No,0.82903,368,455,0.79440,0.86366
2006,Saxony,Rural regions,Yes,0.24289,104,422,0.20193,0.28385
2006,Saxony,Rural regions,No,0.75711,318,422,0.71615,0.79807
2006,Saxony-Anhalt,Urban regions,No,0.84273,80,80,0.76245,0.92301
2006,Saxony-Anhalt,Rural regions,Yes,0.21671,104,396,0.17608,0.25735
2006,Saxony-Anhalt,Rural regions,No,0.78329,292,396,0.74265,0.82392
2006,Thuringa,Urban regions,No,0.85584,118,118,0.79220,0.91949
