year,bula_h,quintil_oecd_hh,pet_other,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1996,Schleswig-Holstein,2nd Quintile,No,0.98830,32,32,0.95044,1.02615
1996,Lower Saxony,1st Quintile,No,0.91957,90,90,0.86307,0.97607
1996,Lower Saxony,2nd Quintile,No,0.90715,85,85,0.84509,0.96922
1996,Lower Saxony,3rd Quintile,No,0.90688,111,111,0.85258,0.96119
1996,Lower Saxony,4th Quintile,No,0.93341,111,111,0.88682,0.98000
1996,Lower Saxony,5th Quintile,No,0.95989,94,94,0.92001,0.99977
1996,North Rhine-Westphalia,1st Quintile,No,0.93417,267,267,0.90437,0.96397
1996,North Rhine-Westphalia,2nd Quintile,No,0.91082,243,243,0.87491,0.94673
1996,North Rhine-Westphalia,3rd Quintile,No,0.94054,212,212,0.90863,0.97245
1996,North Rhine-Westphalia,4th Quintile,No,0.94471,238,238,0.91562,0.97381
1996,North Rhine-Westphalia,5th Quintile,No,0.92973,233,233,0.89684,0.96262
1996,Hesse,1st Quintile,No,0.92778,99,99,0.87654,0.97903
1996,Hesse,2nd Quintile,No,0.95697,71,71,0.90943,1.00451
1996,Hesse,3rd Quintile,No,0.99124,89,89,0.97178,1.01071
1996,Hesse,4th Quintile,No,0.97112,86,86,0.93551,1.00672
1996,Hesse,5th Quintile,No,0.96200,96,96,0.92355,1.00045
1996,"Rhineland-Palatinate, Saarland",1st Quintile,No,0.94638,67,67,0.89204,1.00073
1996,"Rhineland-Palatinate, Saarland",2nd Quintile,No,0.87726,56,56,0.79054,0.96398
1996,"Rhineland-Palatinate, Saarland",3rd Quintile,No,0.92691,60,60,0.86050,0.99333
1996,"Rhineland-Palatinate, Saarland",4th Quintile,No,0.94463,74,74,0.89216,0.99709
1996,"Rhineland-Palatinate, Saarland",5th Quintile,No,0.95802,57,57,0.90550,1.01055
1996,Baden-Wuerttemberg,1st Quintile,No,0.92068,150,150,0.87729,0.96407
1996,Baden-Wuerttemberg,2nd Quintile,No,0.89429,154,154,0.84557,0.94301
1996,Baden-Wuerttemberg,3rd Quintile,No,0.93587,154,154,0.89705,0.97469
1996,Baden-Wuerttemberg,4th Quintile,No,0.93535,168,168,0.89805,0.97265
1996,Baden-Wuerttemberg,5th Quintile,No,0.94562,151,151,0.90932,0.98191
1996,Bavaria,1st Quintile,No,0.90616,138,138,0.85733,0.95499
1996,Bavaria,2nd Quintile,No,0.96087,136,136,0.92816,0.99358
1996,Bavaria,3rd Quintile,No,0.89219,163,163,0.84443,0.93995
1996,Bavaria,4th Quintile,No,0.91973,166,166,0.87827,0.96119
1996,Bavaria,5th Quintile,No,0.95812,188,188,0.92941,0.98683
1996,Berlin,1st Quintile,No,0.96175,59,59,0.91240,1.01111
1996,Berlin,2nd Quintile,No,0.92415,49,49,0.84925,0.99905
1996,Berlin,3rd Quintile,No,0.87567,54,54,0.78683,0.96450
1996,Berlin,4th Quintile,No,0.88136,59,59,0.79814,0.96458
1996,Berlin,5th Quintile,No,0.95596,60,60,0.90360,1.00831
1996,Brandenburg,1st Quintile,No,0.94241,59,59,0.88246,1.00237
1996,Brandenburg,2nd Quintile,No,0.85313,72,72,0.77080,0.93547
1996,Brandenburg,3rd Quintile,No,0.82360,52,52,0.71899,0.92821
