year,quintil_oecd_hh,pet_other,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1996,1st Quintile,Yes,0.07609,118,1411,0.06225,0.08993
1996,1st Quintile,No,0.92391,1293,1411,0.91007,0.93775
1996,2nd Quintile,Yes,0.08153,133,1401,0.06719,0.09586
1996,2nd Quintile,No,0.91847,1268,1401,0.90414,0.93281
1996,3rd Quintile,Yes,0.08872,151,1394,0.07378,0.10365
1996,3rd Quintile,No,0.91128,1243,1394,0.89635,0.92622
1996,4th Quintile,Yes,0.06841,113,1297,0.05467,0.08216
1996,4th Quintile,No,0.93159,1184,1297,0.91784,0.94533
1996,5th Quintile,Yes,0.05228,70,1122,0.03925,0.06531
1996,5th Quintile,No,0.94772,1052,1122,0.93469,0.96075
2001,1st Quintile,Yes,0.07578,200,2231,0.06479,0.08676
2001,1st Quintile,No,0.92422,2031,2231,0.91324,0.93521
2001,2nd Quintile,Yes,0.10573,299,2460,0.09357,0.11788
2001,2nd Quintile,No,0.89427,2161,2460,0.88212,0.90643
2001,3rd Quintile,Yes,0.07965,232,2436,0.06889,0.09040
2001,3rd Quintile,No,0.92035,2204,2436,0.90960,0.93111
2001,4th Quintile,Yes,0.07564,200,2369,0.06499,0.08629
2001,4th Quintile,No,0.92436,2169,2369,0.91371,0.93501
2001,5th Quintile,Yes,0.05082,133,2181,0.04160,0.06004
2001,5th Quintile,No,0.94918,2048,2181,0.93996,0.95840
2006,1st Quintile,Yes,0.08194,213,2096,0.07019,0.09368
2006,1st Quintile,No,0.91806,1883,2096,0.90632,0.92981
2006,2nd Quintile,Yes,0.08637,239,2222,0.07469,0.09805
2006,2nd Quintile,No,0.91363,1983,2222,0.90195,0.92531
2006,3rd Quintile,Yes,0.09792,253,2387,0.08599,0.10985
2006,3rd Quintile,No,0.90208,2134,2387,0.89015,0.91401
2006,4th Quintile,Yes,0.08107,257,2493,0.07035,0.09178
2006,4th Quintile,No,0.91893,2236,2493,0.90822,0.92965
2006,5th Quintile,Yes,0.05538,205,3061,0.04728,0.06348
2006,5th Quintile,No,0.94462,2856,3061,0.93652,0.95272
2011,1st Quintile,Yes,0.05728,183,2255,0.04768,0.06687
2011,1st Quintile,No,0.94272,2072,2255,0.93313,0.95232
2011,2nd Quintile,Yes,0.06527,193,2239,0.05503,0.07550
2011,2nd Quintile,No,0.93473,2046,2239,0.92450,0.94497
2011,3rd Quintile,Yes,0.07849,240,2375,0.06767,0.08931
2011,3rd Quintile,No,0.92151,2135,2375,0.91069,0.93233
2011,4th Quintile,Yes,0.07053,229,2436,0.06036,0.08070
2011,4th Quintile,No,0.92947,2207,2436,0.91930,0.93964
2011,5th Quintile,Yes,0.05645,191,2776,0.04787,0.06504
2011,5th Quintile,No,0.94355,2585,2776,0.93496,0.95213
2016,1st Quintile,Yes,0.02064,101,3096,0.01563,0.02565
2016,1st Quintile,No,0.97936,2995,3096,0.97435,0.98437
2016,2nd Quintile,Yes,0.02672,109,3041,0.02099,0.03246
2016,2nd Quintile,No,0.97328,2932,3041,0.96754,0.97901
2016,3rd Quintile,Yes,0.02710,86,2743,0.02102,0.03318
2016,3rd Quintile,No,0.97290,2657,2743,0.96682,0.97898
2016,4th Quintile,Yes,0.02489,87,2662,0.01897,0.03081
2016,4th Quintile,No,0.97511,2575,2662,0.96919,0.98103
2016,5th Quintile,Yes,0.01932,58,2754,0.01418,0.02446
2016,5th Quintile,No,0.98068,2696,2754,0.97554,0.98582
2021,1st Quintile,Yes,0.01705,47,2042,0.01144,0.02267
2021,1st Quintile,No,0.98295,1995,2042,0.97733,0.98856
2021,2nd Quintile,Yes,0.02550,76,2184,0.01889,0.03212
2021,2nd Quintile,No,0.97450,2108,2184,0.96788,0.98111
2021,3rd Quintile,Yes,0.03363,92,2024,0.02577,0.04148
2021,3rd Quintile,No,0.96637,1932,2024,0.95852,0.97423
2021,4th Quintile,Yes,0.03892,91,2078,0.03061,0.04724
2021,4th Quintile,No,0.96108,1987,2078,0.95276,0.96939
2021,5th Quintile,Yes,0.02608,92,2709,0.02008,0.03208
2021,5th Quintile,No,0.97392,2617,2709,0.96792,0.97992
