year,rentown,pet_other,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1996,Owner,Yes,0.09817,282,2395,0.08625,0.11009
1996,Owner,No,0.90183,2113,2395,0.88991,0.91375
1996,Tenant,Yes,0.05658,303,4235,0.04962,0.06353
1996,Tenant,No,0.94318,3932,4235,0.93620,0.95015
2001,Owner,Yes,0.10124,606,5267,0.09309,0.10939
2001,Owner,No,0.89876,4661,5267,0.89061,0.90691
2001,Tenant,Yes,0.06017,458,6413,0.05435,0.06599
2001,Tenant,No,0.93983,5955,6413,0.93401,0.94565
2006,Owner,Yes,0.10148,669,6003,0.09384,0.10912
2006,Owner,No,0.89852,5334,6003,0.89088,0.90616
2006,Tenant,Yes,0.06562,498,6260,0.05948,0.07175
2006,Tenant,No,0.93438,5762,6260,0.92825,0.94052
2011,Owner,Yes,0.07713,597,5944,0.07034,0.08391
2011,Owner,No,0.86185,5347,5944,0.85308,0.87062
2011,Tenant,Yes,0.04672,439,6140,0.04145,0.05200
2011,Tenant,No,0.86368,5701,6140,0.85509,0.87226
2016,Owner,Yes,0.02980,229,6301,0.02560,0.03400
2016,Owner,No,0.97003,6072,6301,0.96582,0.97424
2016,Tenant,Yes,0.01854,212,7999,0.01558,0.02149
2016,Tenant,No,0.98146,7787,7999,0.97851,0.98442
2021,Owner,Yes,0.03846,253,5080,0.03317,0.04375
2021,Owner,No,0.96055,4827,5080,0.95519,0.96590
2021,Tenant,Yes,0.01883,145,5971,0.01539,0.02228
2021,Tenant,No,0.96084,5826,5971,0.95592,0.96576
