year,quintil_oecd_hh,rentown,pet_other,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2016,1st Quintile,Owner,No,0.95231,370,370,0.93056,0.97405
2016,1st Quintile,Tenant,Yes,0.01600,75,2699,0.01127,0.02074
2016,1st Quintile,Tenant,No,0.98400,2624,2699,0.97926,0.98873
2016,2nd Quintile,Owner,Yes,0.03951,55,1026,0.02758,0.05143
2016,2nd Quintile,Owner,No,0.96049,971,1026,0.94857,0.97242
2016,2nd Quintile,Tenant,Yes,0.01944,54,2015,0.01341,0.02547
2016,2nd Quintile,Tenant,No,0.98056,1961,2015,0.97453,0.98659
2016,3rd Quintile,Owner,Yes,0.02990,42,1341,0.02078,0.03902
2016,3rd Quintile,Owner,No,0.97010,1299,1341,0.96098,0.97922
2016,3rd Quintile,Tenant,Yes,0.02420,44,1402,0.01615,0.03225
2016,3rd Quintile,Tenant,No,0.97580,1358,1402,0.96775,0.98385
2016,4th Quintile,Owner,Yes,0.02793,57,1561,0.01975,0.03610
2016,4th Quintile,Owner,No,0.97207,1504,1561,0.96390,0.98025
2016,4th Quintile,Tenant,No,0.97926,1071,1071,0.97072,0.98780
2016,5th Quintile,Owner,Yes,0.02268,49,1977,0.01612,0.02924
2016,5th Quintile,Owner,No,0.97732,1928,1977,0.97076,0.98388
2016,5th Quintile,Tenant,No,0.98883,768,768,0.98139,0.99627
2021,1st Quintile,Owner,No,0.98582,259,259,0.97139,1.00025
2021,1st Quintile,Tenant,Yes,0.01772,36,1771,0.01157,0.02386
2021,1st Quintile,Tenant,No,0.98228,1735,1771,0.97614,0.98843
2021,2nd Quintile,Owner,Yes,0.03923,36,679,0.02462,0.05385
2021,2nd Quintile,Owner,No,0.96077,643,679,0.94615,0.97538
2021,2nd Quintile,Tenant,Yes,0.01858,40,1503,0.01175,0.02540
2021,2nd Quintile,Tenant,No,0.98142,1463,1503,0.97460,0.98825
2021,3rd Quintile,Owner,Yes,0.04997,63,927,0.03594,0.06401
2021,3rd Quintile,Owner,No,0.95003,864,927,0.93599,0.96406
2021,3rd Quintile,Tenant,No,0.98203,1068,1068,0.97406,0.99000
2021,4th Quintile,Owner,Yes,0.04638,66,1211,0.03453,0.05822
2021,4th Quintile,Owner,No,0.95362,1145,1211,0.94178,0.96547
2021,4th Quintile,Tenant,No,0.97236,842,842,0.96128,0.98344
2021,5th Quintile,Owner,Yes,0.02988,77,1988,0.02239,0.03737
2021,5th Quintile,Owner,No,0.97012,1911,1988,0.96263,0.97761
2021,5th Quintile,Tenant,No,0.98475,704,704,0.97570,0.99381
