year,quintil_oecd_hh,rentown,pet_fish,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1996,1st Quintile,Owner,No,0.97812,225,225,0.95896,0.99728
1996,1st Quintile,Tenant,Yes,0.03134,57,1178,0.02139,0.04130
1996,1st Quintile,Tenant,No,0.96866,1121,1178,0.95870,0.97861
1996,2nd Quintile,Owner,Yes,0.08414,44,415,0.05740,0.11088
1996,2nd Quintile,Owner,No,0.91586,371,415,0.88912,0.94260
1996,2nd Quintile,Tenant,Yes,0.03966,51,986,0.02747,0.05185
1996,2nd Quintile,Tenant,No,0.96034,935,986,0.94815,0.97253
1996,3rd Quintile,Owner,Yes,0.05475,38,541,0.03557,0.07394
1996,3rd Quintile,Owner,No,0.94525,503,541,0.92606,0.96443
1996,3rd Quintile,Tenant,Yes,0.03793,39,853,0.02511,0.05076
1996,3rd Quintile,Tenant,No,0.96207,814,853,0.94924,0.97489
1996,4th Quintile,Owner,Yes,0.05477,37,581,0.03625,0.07328
1996,4th Quintile,Owner,No,0.94523,544,581,0.92672,0.96375
1996,4th Quintile,Tenant,Yes,0.03731,34,717,0.02343,0.05119
1996,4th Quintile,Tenant,No,0.96269,683,717,0.94881,0.97657
1996,5th Quintile,Owner,Yes,0.04365,35,624,0.02760,0.05969
1996,5th Quintile,Owner,No,0.95635,589,624,0.94031,0.97240
1996,5th Quintile,Tenant,No,0.96426,477,477,0.94758,0.98093
2001,1st Quintile,Owner,No,0.92563,364,364,0.89864,0.95262
2001,1st Quintile,Tenant,Yes,0.03768,88,1837,0.02897,0.04639
2001,1st Quintile,Tenant,No,0.96232,1749,1837,0.95361,0.97103
2001,2nd Quintile,Owner,Yes,0.07510,79,912,0.05799,0.09221
2001,2nd Quintile,Owner,No,0.92490,833,912,0.90779,0.94201
2001,2nd Quintile,Tenant,Yes,0.04718,95,1548,0.03661,0.05774
2001,2nd Quintile,Tenant,No,0.95282,1453,1548,0.94226,0.96339
2001,3rd Quintile,Owner,Yes,0.07938,108,1169,0.06387,0.09488
2001,3rd Quintile,Owner,No,0.92062,1061,1169,0.90512,0.93613
2001,3rd Quintile,Tenant,Yes,0.04836,68,1267,0.03654,0.06017
2001,3rd Quintile,Tenant,No,0.95164,1199,1267,0.93983,0.96346
2001,4th Quintile,Owner,Yes,0.06961,100,1331,0.05593,0.08328
2001,4th Quintile,Owner,No,0.93039,1231,1331,0.91672,0.94407
2001,4th Quintile,Tenant,Yes,0.05290,62,1038,0.03928,0.06652
2001,4th Quintile,Tenant,No,0.94710,976,1038,0.93348,0.96072
2001,5th Quintile,Owner,Yes,0.04899,79,1461,0.03792,0.06006
2001,5th Quintile,Owner,No,0.95101,1382,1461,0.93994,0.96208
2001,5th Quintile,Tenant,No,0.97715,697,697,0.96604,0.98825
2006,1st Quintile,Owner,No,0.94701,330,330,0.92281,0.97122
2006,1st Quintile,Tenant,Yes,0.03832,85,1742,0.02930,0.04734
2006,1st Quintile,Tenant,No,0.96168,1657,1742,0.95266,0.97070
2006,2nd Quintile,Owner,Yes,0.06664,61,805,0.04940,0.08388
2006,2nd Quintile,Owner,No,0.93336,744,805,0.91612,0.95060
2006,2nd Quintile,Tenant,Yes,0.03628,70,1417,0.02654,0.04602
2006,2nd Quintile,Tenant,No,0.96372,1347,1417,0.95398,0.97346
2006,3rd Quintile,Owner,Yes,0.08550,118,1191,0.06961,0.10138
2006,3rd Quintile,Owner,No,0.91450,1073,1191,0.89862,0.93039
2006,3rd Quintile,Tenant,Yes,0.06573,77,1195,0.05167,0.07978
2006,3rd Quintile,Tenant,No,0.93427,1118,1195,0.92022,0.94833
2006,4th Quintile,Owner,Yes,0.08745,131,1485,0.07308,0.10182
2006,4th Quintile,Owner,No,0.91255,1354,1485,0.89818,0.92692
2006,4th Quintile,Tenant,Yes,0.04243,53,1008,0.02998,0.05488
2006,4th Quintile,Tenant,No,0.95757,955,1008,0.94512,0.97002
2006,5th Quintile,Owner,Yes,0.04813,133,2167,0.03911,0.05714
2006,5th Quintile,Owner,No,0.95187,2034,2167,0.94286,0.96089
2006,5th Quintile,Tenant,Yes,0.03626,33,893,0.02399,0.04852
2006,5th Quintile,Tenant,No,0.96374,860,893,0.95148,0.97601
2011,1st Quintile,Owner,No,0.96533,362,362,0.94646,0.98420
2011,1st Quintile,Tenant,Yes,0.02377,80,1872,0.01687,0.03067
2011,1st Quintile,Tenant,No,0.97623,1792,1872,0.96933,0.98313
2011,2nd Quintile,Owner,Yes,0.05111,56,861,0.03639,0.06582
2011,2nd Quintile,Owner,No,0.94889,805,861,0.93418,0.96361
2011,2nd Quintile,Tenant,Yes,0.03306,63,1378,0.02362,0.04250
2011,2nd Quintile,Tenant,No,0.96694,1315,1378,0.95750,0.97638
2011,3rd Quintile,Owner,Yes,0.06907,100,1232,0.05490,0.08323
2011,3rd Quintile,Owner,No,0.93093,1132,1232,0.91677,0.94510
2011,3rd Quintile,Tenant,Yes,0.04841,65,1143,0.03596,0.06086
2011,3rd Quintile,Tenant,No,0.95159,1078,1143,0.93914,0.96404
2011,4th Quintile,Owner,Yes,0.07587,123,1470,0.06233,0.08941
2011,4th Quintile,Owner,No,0.92413,1347,1470,0.91059,0.93767
2011,4th Quintile,Tenant,Yes,0.04021,48,966,0.02781,0.05260
2011,4th Quintile,Tenant,No,0.95979,918,966,0.94740,0.97219
2011,5th Quintile,Owner,Yes,0.06386,137,1998,0.05314,0.07458
2011,5th Quintile,Owner,No,0.93614,1861,1998,0.92542,0.94686
2011,5th Quintile,Tenant,Yes,0.03978,32,778,0.02604,0.05352
2011,5th Quintile,Tenant,No,0.96022,746,778,0.94648,0.97396
2016,1st Quintile,Owner,No,0.93100,366,366,0.90500,0.95700
2016,1st Quintile,Tenant,Yes,0.02096,97,2699,0.01555,0.02637
2016,1st Quintile,Tenant,No,0.97904,2602,2699,0.97363,0.98445
2016,2nd Quintile,Owner,Yes,0.05133,74,1026,0.03782,0.06484
2016,2nd Quintile,Owner,No,0.94867,952,1026,0.93516,0.96218
2016,2nd Quintile,Tenant,Yes,0.02233,78,2015,0.01588,0.02879
2016,2nd Quintile,Tenant,No,0.97767,1937,2015,0.97121,0.98412
2016,3rd Quintile,Owner,Yes,0.04771,84,1341,0.03630,0.05912
2016,3rd Quintile,Owner,No,0.95229,1257,1341,0.94088,0.96370
2016,3rd Quintile,Tenant,Yes,0.04026,64,1402,0.02997,0.05056
2016,3rd Quintile,Tenant,No,0.95974,1338,1402,0.94944,0.97003
2016,4th Quintile,Owner,Yes,0.04466,95,1561,0.03441,0.05491
2016,4th Quintile,Owner,No,0.95534,1466,1561,0.94509,0.96559
2016,4th Quintile,Tenant,Yes,0.03152,37,1101,0.02119,0.04184
2016,4th Quintile,Tenant,No,0.96848,1064,1101,0.95816,0.97881
2016,5th Quintile,Owner,Yes,0.03749,103,1978,0.02912,0.04586
2016,5th Quintile,Owner,No,0.96251,1875,1978,0.95414,0.97088
2016,5th Quintile,Tenant,No,0.97246,752,752,0.96076,0.98417
2021,1st Quintile,Owner,No,0.98142,260,260,0.96497,0.99787
2021,1st Quintile,Tenant,Yes,0.01325,36,1771,0.00792,0.01858
2021,1st Quintile,Tenant,No,0.98675,1735,1771,0.98142,0.99208
2021,2nd Quintile,Owner,Yes,0.05825,60,679,0.04062,0.07588
2021,2nd Quintile,Owner,No,0.94175,619,679,0.92412,0.95938
2021,2nd Quintile,Tenant,Yes,0.02836,64,1503,0.01997,0.03676
