"pli0092_h","year","regtyp","sex","n","percent","lower_confidence_percent","upper_confidence_percent"
"Täglich","1985","Städtischer Raum","männlich","","","",""
"Täglich","1985","Städtischer Raum","weiblich","","","",""
"Täglich","1985","Ländlicher Raum","männlich","","","",""
"Täglich","1985","Ländlicher Raum","weiblich","","","",""
"Min 1x pro Woche","1985","Städtischer Raum","männlich","1109","0.277968927433034","0.26442661569303","0.291511239173038"
"Min 1x pro Woche","1985","Städtischer Raum","weiblich","815","0.21185856549644","0.199698710086944","0.224018420905936"
"Min 1x pro Woche","1985","Ländlicher Raum","männlich","309","0.262901896680363","0.237381672663268","0.288422120697457"
"Min 1x pro Woche","1985","Ländlicher Raum","weiblich","227","0.194838990186659","0.172457212364249","0.21722076800907"
"Min 1x pro Monat","1985","Städtischer Raum","männlich","258","0.0593763190832335","0.05223248553518","0.066520152631287"
"Min 1x pro Monat","1985","Städtischer Raum","weiblich","153","0.0369444981103511","0.0313313841309454","0.0425576120897568"
"Min 1x pro Monat","1985","Ländlicher Raum","männlich","75","0.061969910917241","0.0479925945111297","0.0759472273233523"
"Min 1x pro Monat","1985","Ländlicher Raum","weiblich","54","0.0406482084643653","0.0294892174621364","0.0518071994665942"
"Seltener","1985","Städtischer Raum","männlich","595","0.14242727746981","0.131862780983051","0.152991773956569"
"Seltener","1985","Städtischer Raum","weiblich","541","0.122051511248099","0.112310379535509","0.131792642960689"
"Seltener","1985","Ländlicher Raum","männlich","157","0.126009512027444","0.10677062281619","0.145248401238697"
"Seltener","1985","Ländlicher Raum","weiblich","138","0.104990568681732","0.0876683216688127","0.122312815694651"
"Nie","1985","Städtischer Raum","männlich","2242","0.520227476013923","0.505125594217407","0.535329357810438"
"Nie","1985","Städtischer Raum","weiblich","2829","0.62914542514511","0.614771325238532","0.643519525051688"
"Nie","1985","Ländlicher Raum","männlich","602","0.549118680374953","0.520272440797307","0.577964919952599"
"Nie","1985","Ländlicher Raum","weiblich","784","0.659522232667243","0.632744464533979","0.686300000800507"
"Täglich","1986","Städtischer Raum","männlich","","","",""
"Täglich","1986","Städtischer Raum","weiblich","","","",""
"Täglich","1986","Ländlicher Raum","männlich","","","",""
"Täglich","1986","Ländlicher Raum","weiblich","","","",""
"Min 1x pro Woche","1986","Städtischer Raum","männlich","1177","0.293921019537188","0.279949385918027","0.307892653156349"
"Min 1x pro Woche","1986","Städtischer Raum","weiblich","821","0.210268613585292","0.19787361894015","0.222663608230433"
"Min 1x pro Woche","1986","Ländlicher Raum","männlich","307","0.2770061727855","0.250438907021195","0.303573438549806"
"Min 1x pro Woche","1986","Ländlicher Raum","weiblich","227","0.198147491121342","0.175019026460763","0.221275955781921"
"Min 1x pro Monat","1986","Städtischer Raum","männlich","258","0.0615733645934689","0.0542010844461234","0.0689456447408144"
"Min 1x pro Monat","1986","Städtischer Raum","weiblich","185","0.0466913442062065","0.0402740141676643","0.0531086742447486"
"Min 1x pro Monat","1986","Ländlicher Raum","männlich","65","0.0562464872157295","0.0425688262381903","0.0699241481932686"
"Min 1x pro Monat","1986","Ländlicher Raum","weiblich","56","0.0456157261469703","0.0335090701491677","0.0577223821447728"
"Seltener","1986","Städtischer Raum","männlich","527","0.13371742204236","0.123279140367189","0.144155703717532"
"Seltener","1986","Städtischer Raum","weiblich","457","0.106608631778711","0.0972214229472564","0.115995840610166"
"Seltener","1986","Ländlicher Raum","männlich","154","0.132392388573479","0.112272386203263","0.152512390943694"
"Seltener","1986","Ländlicher Raum","weiblich","136","0.107442623849926","0.0894741313235162","0.125411116376335"
"Nie","1986","Städtischer Raum","männlich","2122","0.510788193826983","0.495457065661746","0.52611932199222"
"Nie","1986","Städtischer Raum","weiblich","2689","0.636431410429791","0.621799925675053","0.651062895184529"
"Nie","1986","Ländlicher Raum","männlich","564","0.534354951425292","0.50474230264846","0.563967600202123"
"Nie","1986","Ländlicher Raum","weiblich","722","0.648794158881762","0.621096720836807","0.676491596926717"
"Täglich","1987","Städtischer Raum","männlich","","","",""
"Täglich","1987","Städtischer Raum","weiblich","","","",""
"Täglich","1987","Ländlicher Raum","männlich","","","",""
"Täglich","1987","Ländlicher Raum","weiblich","","","",""
"Min 1x pro Woche","1987","Städtischer Raum","männlich","","","",""
"Min 1x pro Woche","1987","Städtischer Raum","weiblich","","","",""
"Min 1x pro Woche","1987","Ländlicher Raum","männlich","","","",""
"Min 1x pro Woche","1987","Ländlicher Raum","weiblich","","","",""
"Min 1x pro Monat","1987","Städtischer Raum","männlich","","","",""
"Min 1x pro Monat","1987","Städtischer Raum","weiblich","","","",""
"Min 1x pro Monat","1987","Ländlicher Raum","männlich","","","",""
"Min 1x pro Monat","1987","Ländlicher Raum","weiblich","","","",""
"Seltener","1987","Städtischer Raum","männlich","","","",""
"Seltener","1987","Städtischer Raum","weiblich","","","",""
"Seltener","1987","Ländlicher Raum","männlich","","","",""
"Seltener","1987","Ländlicher Raum","weiblich","","","",""
"Nie","1987","Städtischer Raum","männlich","","","",""
"Nie","1987","Städtischer Raum","weiblich","","","",""
"Nie","1987","Ländlicher Raum","männlich","","","",""
"Nie","1987","Ländlicher Raum","weiblich","","","",""
"Täglich","1988","Städtischer Raum","männlich","","","",""
"Täglich","1988","Städtischer Raum","weiblich","","","",""
"Täglich","1988","Ländlicher Raum","männlich","","","",""
"Täglich","1988","Ländlicher Raum","weiblich","","","",""
"Min 1x pro Woche","1988","Städtischer Raum","männlich","1084","0.283501800762583","0.269309469307327","0.297694132217838"
"Min 1x pro Woche","1988","Städtischer Raum","weiblich","826","0.229209062384458","0.216057789663511","0.242360335105404"
"Min 1x pro Woche","1988","Ländlicher Raum","männlich","295","0.277622595560496","0.250058826971426","0.305186364149567"
"Min 1x pro Woche","1988","Ländlicher Raum","weiblich","210","0.197479480784862","0.173434581267975","0.221524380301749"
"Min 1x pro Monat","1988","Städtischer Raum","männlich","232","0.0614126521805147","0.0538524300256987","0.0689728743353308"
"Min 1x pro Monat","1988","Städtischer Raum","weiblich","169","0.0447417100054379","0.0382732590650543","0.0512101609458216"
"Min 1x pro Monat","1988","Ländlicher Raum","männlich","59","0.0511623579541128","0.0376010885924209","0.0647236273158047"
"Min 1x pro Monat","1988","Ländlicher Raum","weiblich","60","0.0599641028126021","0.045624015532258","0.0743041900929463"
"Seltener","1988","Städtischer Raum","männlich","544","0.144816434374999","0.133734721816591","0.155898146933406"
"Seltener","1988","Städtischer Raum","weiblich","463","0.117392327553739","0.107320986626053","0.127463668481426"
"Seltener","1988","Ländlicher Raum","männlich","159","0.161630706979471","0.138973376917888","0.184288037041054"
"Seltener","1988","Ländlicher Raum","weiblich","165","0.144487121011223","0.123251657242213","0.165722584780233"
"Nie","1988","Städtischer Raum","männlich","2014","0.510269112681904","0.49452759247955","0.526010632884258"
"Nie","1988","Städtischer Raum","weiblich","2466","0.608656900056365","0.593386560053394","0.623927240059336"
"Nie","1988","Ländlicher Raum","männlich","501","0.50958433950592","0.478814919146856","0.540353759864984"
"Nie","1988","Ländlicher Raum","weiblich","618","0.598069295391313","0.568456101450412","0.627682489332213"
"Täglich","1989","Städtischer Raum","männlich","","","",""
"Täglich","1989","Städtischer Raum","weiblich","","","",""
"Täglich","1989","Ländlicher Raum","männlich","","","",""
"Täglich","1989","Ländlicher Raum","weiblich","","","",""
"Min 1x pro Woche","1989","Städtischer Raum","männlich","","","",""
"Min 1x pro Woche","1989","Städtischer Raum","weiblich","","","",""
"Min 1x pro Woche","1989","Ländlicher Raum","männlich","","","",""
"Min 1x pro Woche","1989","Ländlicher Raum","weiblich","","","",""
"Min 1x pro Monat","1989","Städtischer Raum","männlich","","","",""
"Min 1x pro Monat","1989","Städtischer Raum","weiblich","","","",""
"Min 1x pro Monat","1989","Ländlicher Raum","männlich","","","",""
"Min 1x pro Monat","1989","Ländlicher Raum","weiblich","","","",""
"Seltener","1989","Städtischer Raum","männlich","","","",""
"Seltener","1989","Städtischer Raum","weiblich","","","",""
"Seltener","1989","Ländlicher Raum","männlich","","","",""
"Seltener","1989","Ländlicher Raum","weiblich","","","",""
"Nie","1989","Städtischer Raum","männlich","","","",""
"Nie","1989","Städtischer Raum","weiblich","","","",""
"Nie","1989","Ländlicher Raum","männlich","","","",""
"Nie","1989","Ländlicher Raum","weiblich","","","",""
"Täglich","1990","Städtischer Raum","männlich","195","0.0492535395932256","0.0428162317265572","0.055690847459894"
"Täglich","1990","Städtischer Raum","weiblich","118","0.03027878771153","0.0252789462349467","0.0352786291881132"
"Täglich","1990","Ländlicher Raum","männlich","59","0.0357002350839073","0.0281290151479391","0.0432714550198756"
"Täglich","1990","Ländlicher Raum","weiblich","20","","",""
"Min 1x pro Woche","1990","Städtischer Raum","männlich","1083","0.26619994184626","0.253052355032446","0.279347528660074"
"Min 1x pro Woche","1990","Städtischer Raum","weiblich","895","0.221035519731864","0.208928049567507","0.233142989896222"
"Min 1x pro Woche","1990","Ländlicher Raum","männlich","425","0.191320053872487","0.175269394517917","0.207370713227056"
"Min 1x pro Woche","1990","Ländlicher Raum","weiblich","361","0.173607021116334","0.158581098314008","0.188632943918659"
"Min 1x pro Monat","1990","Städtischer Raum","männlich","388","0.0936033463549472","0.0849385565378668","0.102268136172028"
"Min 1x pro Monat","1990","Städtischer Raum","weiblich","285","0.0691463663208584","0.0617436871771361","0.0765490454645807"
"Min 1x pro Monat","1990","Ländlicher Raum","männlich","163","0.0808765353855402","0.0697509597701379","0.0920021110009425"
"Min 1x pro Monat","1990","Ländlicher Raum","weiblich","109","0.054778779038432","0.0457519107227271","0.063805647354137"
"Seltener","1990","Städtischer Raum","männlich","831","0.203811730319891","0.191828451246448","0.215795009393333"
"Seltener","1990","Städtischer Raum","weiblich","743","0.1682114358302","0.157297088330554","0.179125783329845"
"Seltener","1990","Ländlicher Raum","männlich","453","0.215836668269699","0.199049007948515","0.232624328590882"
"Seltener","1990","Ländlicher Raum","weiblich","369","0.156423858482096","0.142013398536118","0.170834318428074"
"Nie","1990","Städtischer Raum","männlich","1844","0.387131441885676","0.372641518427597","0.401621365343755"
"Nie","1990","Städtischer Raum","weiblich","2471","0.511327890405548","0.496742365507292","0.525913415303803"
"Nie","1990","Ländlicher Raum","männlich","1207","0.476266507388367","0.455886492898272","0.496646521878462"
"Nie","1990","Ländlicher Raum","weiblich","1582","0.599498546907343","0.580060155767654","0.618936938047032"
"Täglich","1991","Städtischer Raum","männlich","","","",""
"Täglich","1991","Städtischer Raum","weiblich","","","",""
"Täglich","1991","Ländlicher Raum","männlich","","","",""
"Täglich","1991","Ländlicher Raum","weiblich","","","",""
"Min 1x pro Woche","1991","Städtischer Raum","männlich","","","",""
"Min 1x pro Woche","1991","Städtischer Raum","weiblich","","","",""
"Min 1x pro Woche","1991","Ländlicher Raum","männlich","","","",""
"Min 1x pro Woche","1991","Ländlicher Raum","weiblich","","","",""
"Min 1x pro Monat","1991","Städtischer Raum","männlich","","","",""
"Min 1x pro Monat","1991","Städtischer Raum","weiblich","","","",""
"Min 1x pro Monat","1991","Ländlicher Raum","männlich","","","",""
"Min 1x pro Monat","1991","Ländlicher Raum","weiblich","","","",""
"Seltener","1991","Städtischer Raum","männlich","","","",""
"Seltener","1991","Städtischer Raum","weiblich","","","",""
"Seltener","1991","Ländlicher Raum","männlich","","","",""
"Seltener","1991","Ländlicher Raum","weiblich","","","",""
"Nie","1991","Städtischer Raum","männlich","","","",""
"Nie","1991","Städtischer Raum","weiblich","","","",""
"Nie","1991","Ländlicher Raum","männlich","","","",""
"Nie","1991","Ländlicher Raum","weiblich","","","",""
"Täglich","1992","Städtischer Raum","männlich","","","",""
"Täglich","1992","Städtischer Raum","weiblich","","","",""
"Täglich","1992","Ländlicher Raum","männlich","","","",""
"Täglich","1992","Ländlicher Raum","weiblich","","","",""
"Min 1x pro Woche","1992","Städtischer Raum","männlich","1072","0.26615082110364","0.252678880283821","0.279622761923459"
"Min 1x pro Woche","1992","Städtischer Raum","weiblich","911","0.226683851662871","0.21423176864175","0.239135934683991"
"Min 1x pro Woche","1992","Ländlicher Raum","männlich","429","0.213395310332516","0.196153255728052","0.23063736493698"
"Min 1x pro Woche","1992","Ländlicher Raum","weiblich","350","0.175202271472077","0.159690268185109","0.190714274759045"
"Min 1x pro Monat","1992","Städtischer Raum","männlich","323","0.0840679157010631","0.0756090986699742","0.0925267327321521"
"Min 1x pro Monat","1992","Städtischer Raum","weiblich","215","0.0504077743723898","0.043900928602781","0.0569146201419986"
"Min 1x pro Monat","1992","Ländlicher Raum","männlich","137","0.0637055259270283","0.0534274197967552","0.0739836320573014"
"Min 1x pro Monat","1992","Ländlicher Raum","weiblich","86","0.0383938947998365","0.0305532101854275","0.0462345794142455"
"Seltener","1992","Städtischer Raum","männlich","707","0.169039970339001","0.157615196127157","0.180464744550845"
"Seltener","1992","Städtischer Raum","weiblich","650","0.144137700772454","0.133691847543221","0.154583554001687"
"Seltener","1992","Ländlicher Raum","männlich","435","0.19327989712458","0.176662113586137","0.209897680663024"
"Seltener","1992","Ländlicher Raum","weiblich","370","0.139712204903538","0.125565237662166","0.153859172144909"
"Nie","1992","Städtischer Raum","männlich","2032","0.480741292856296","0.465510922567456","0.495971663145137"
"Nie","1992","Städtischer Raum","weiblich","2567","0.578770673192285","0.564085951002999","0.593455395381571"
"Nie","1992","Ländlicher Raum","männlich","1168","0.529619266615875","0.508614156371528","0.550624376860222"
"Nie","1992","Ländlicher Raum","weiblich","1501","0.646691628824548","0.627186452656232","0.666196804992865"
"Täglich","1993","Städtischer Raum","männlich","","","",""
"Täglich","1993","Städtischer Raum","weiblich","","","",""
"Täglich","1993","Ländlicher Raum","männlich","","","",""
"Täglich","1993","Ländlicher Raum","weiblich","","","",""
"Min 1x pro Woche","1993","Städtischer Raum","männlich","","","",""
"Min 1x pro Woche","1993","Städtischer Raum","weiblich","","","",""
"Min 1x pro Woche","1993","Ländlicher Raum","männlich","","","",""
