"pli0092_h","year","alter_gr","sampreg","n","percent","lower_confidence","upper_confidence"
"Taeglich","1984","16-34 Jahre alt","Westdeutschland, alte Bundeslaender","","","",""
"Taeglich","1984","16-34 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"Taeglich","1984","35-65 Jahre alt","Westdeutschland, alte Bundeslaender","","","",""
"Taeglich","1984","35-65 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"Taeglich","1984","66 und älter","Westdeutschland, alte Bundeslaender","","","",""
"Taeglich","1984","66 und älter","Ostdeutschland, neue Bundeslaender","","","",""
"Min 1x pro Woche","1984","16-34 Jahre alt","Westdeutschland, alte Bundeslaender","","","",""
"Min 1x pro Woche","1984","16-34 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"Min 1x pro Woche","1984","35-65 Jahre alt","Westdeutschland, alte Bundeslaender","","","",""
"Min 1x pro Woche","1984","35-65 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"Min 1x pro Woche","1984","66 und älter","Westdeutschland, alte Bundeslaender","","","",""
"Min 1x pro Woche","1984","66 und älter","Ostdeutschland, neue Bundeslaender","","","",""
"Min 1x pro Monat","1984","16-34 Jahre alt","Westdeutschland, alte Bundeslaender","","","",""
"Min 1x pro Monat","1984","16-34 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"Min 1x pro Monat","1984","35-65 Jahre alt","Westdeutschland, alte Bundeslaender","","","",""
"Min 1x pro Monat","1984","35-65 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"Min 1x pro Monat","1984","66 und älter","Westdeutschland, alte Bundeslaender","","","",""
"Min 1x pro Monat","1984","66 und älter","Ostdeutschland, neue Bundeslaender","","","",""
"Seltener","1984","16-34 Jahre alt","Westdeutschland, alte Bundeslaender","","","",""
"Seltener","1984","16-34 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"Seltener","1984","35-65 Jahre alt","Westdeutschland, alte Bundeslaender","","","",""
"Seltener","1984","35-65 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"Seltener","1984","66 und älter","Westdeutschland, alte Bundeslaender","","","",""
"Seltener","1984","66 und älter","Ostdeutschland, neue Bundeslaender","","","",""
