year,bula_h,regtyp,petyn,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1996,Schleswig-Holstein,Urban regions,Yes,0.42204,33,70,0.30550,0.53857
1996,Schleswig-Holstein,Urban regions,No,0.57796,37,70,0.46143,0.69450
1996,Schleswig-Holstein,Rural regions,No,0.72338,53,53,0.60179,0.84496
1996,Hamburg,Urban regions,No,0.76811,61,61,0.66132,0.87490
1996,Lower Saxony,Urban regions,Yes,0.27831,88,278,0.22553,0.33109
1996,Lower Saxony,Urban regions,No,0.72169,190,278,0.66891,0.77447
1996,Lower Saxony,Rural regions,Yes,0.41135,110,253,0.35059,0.47211
1996,Lower Saxony,Rural regions,No,0.58865,143,253,0.52789,0.64941
1996,Bremen,Urban regions,No,0.77547,39,39,0.64280,0.90815
1996,North Rhine-Westphalia,Urban regions,Yes,0.31736,407,1257,0.29162,0.34310
1996,North Rhine-Westphalia,Urban regions,No,0.68264,850,1257,0.65690,0.70838
1996,Hesse,Urban regions,Yes,0.27990,111,393,0.23545,0.32434
1996,Hesse,Urban regions,No,0.72010,282,393,0.67566,0.76455
1996,Hesse,Rural regions,No,0.61284,46,46,0.47052,0.75516
1996,"Rhineland-Palatinate, Saarland",Urban regions,Yes,0.36512,111,288,0.30942,0.42083
1996,"Rhineland-Palatinate, Saarland",Urban regions,No,0.63488,177,288,0.57917,0.69058
1996,Baden-Wuerttemberg,Urban regions,Yes,0.32039,230,734,0.28661,0.35417
1996,Baden-Wuerttemberg,Urban regions,No,0.67961,504,734,0.64583,0.71339
1996,Baden-Wuerttemberg,Rural regions,Yes,0.35120,36,106,0.25990,0.44251
1996,Baden-Wuerttemberg,Rural regions,No,0.64880,70,106,0.55749,0.74010
1996,Bavaria,Urban regions,Yes,0.30121,133,441,0.25834,0.34407
1996,Bavaria,Urban regions,No,0.69879,308,441,0.65593,0.74166
1996,Bavaria,Rural regions,Yes,0.36934,173,420,0.32313,0.41555
1996,Bavaria,Rural regions,No,0.63066,247,420,0.58445,0.67687
1996,Berlin,Urban regions,Yes,0.35292,114,310,0.29964,0.40621
1996,Berlin,Urban regions,No,0.64708,196,310,0.59379,0.70036
1996,Brandenburg,Rural regions,Yes,0.47584,147,282,0.41744,0.53423
1996,Brandenburg,Rural regions,No,0.52416,135,282,0.46577,0.58256
1996,Mecklenburg-Western Pomerania,Rural regions,Yes,0.42111,79,173,0.34732,0.49489
1996,Mecklenburg-Western Pomerania,Rural regions,No,0.57889,94,173,0.50511,0.65268
1996,Saxony,Urban regions,Yes,0.35674,117,289,0.30141,0.41206
1996,Saxony,Urban regions,No,0.64326,172,289,0.58794,0.69859
1996,Saxony,Rural regions,Yes,0.40247,117,259,0.34263,0.46231
1996,Saxony,Rural regions,No,0.59753,142,259,0.53769,0.65737
1996,Saxony-Anhalt,Urban regions,Yes,0.37764,33,76,0.26792,0.48736
1996,Saxony-Anhalt,Urban regions,No,0.62236,43,76,0.51264,0.73208
1996,Saxony-Anhalt,Rural regions,Yes,0.48068,136,254,0.41912,0.54225
1996,Saxony-Anhalt,Rural regions,No,0.51932,118,254,0.45775,0.58088
1996,Thuringa,Urban regions,Yes,0.39754,41,94,0.29807,0.49700
1996,Thuringa,Urban regions,No,0.60246,53,94,0.50300,0.70193
1996,Thuringa,Rural regions,Yes,0.41832,120,232,0.35470,0.48193
1996,Thuringa,Rural regions,No,0.58168,112,232,0.51807,0.64530
2001,Schleswig-Holstein,Urban regions,Yes,0.33980,58,157,0.26547,0.41412
2001,Schleswig-Holstein,Urban regions,No,0.66020,99,157,0.58588,0.73453
2001,Schleswig-Holstein,Rural regions,Yes,0.35754,82,206,0.29193,0.42315
2001,Schleswig-Holstein,Rural regions,No,0.64246,124,206,0.57685,0.70807
2001,Hamburg,Urban regions,Yes,0.25215,48,181,0.18871,0.31559
2001,Hamburg,Urban regions,No,0.74785,133,181,0.68441,0.81129
2001,Lower Saxony,Urban regions,Yes,0.37123,179,482,0.32806,0.41441
2001,Lower Saxony,Urban regions,No,0.62877,303,482,0.58559,0.67194
2001,Lower Saxony,Rural regions,Yes,0.44538,224,479,0.40082,0.48993
2001,Lower Saxony,Rural regions,No,0.55462,255,479,0.51007,0.59918
2001,Bremen,Urban regions,Yes,0.30929,39,99,0.21778,0.40080
2001,Bremen,Urban regions,No,0.69071,60,99,0.59920,0.78222
2001,North Rhine-Westphalia,Urban regions,Yes,0.31854,817,2425,0.29999,0.33708
2001,North Rhine-Westphalia,Urban regions,No,0.68146,1608,2425,0.66292,0.70001
2001,North Rhine-Westphalia,Rural regions,No,0.76193,42,42,0.63157,0.89230
2001,Hesse,Urban regions,Yes,0.26594,195,630,0.23141,0.30047
2001,Hesse,Urban regions,No,0.73406,435,630,0.69953,0.76859
2001,Hesse,Rural regions,Yes,0.37230,64,149,0.29441,0.45018
2001,Hesse,Rural regions,No,0.62770,85,149,0.54982,0.70559
2001,"Rhineland-Palatinate, Saarland",Urban regions,Yes,0.39923,231,550,0.35827,0.44020
2001,"Rhineland-Palatinate, Saarland",Urban regions,No,0.60077,319,550,0.55980,0.64173
2001,"Rhineland-Palatinate, Saarland",Rural regions,Yes,0.44253,85,170,0.36764,0.51741
2001,"Rhineland-Palatinate, Saarland",Rural regions,No,0.55747,85,170,0.48259,0.63236
