year,quintil_oecd_hh,regtyp,pet_dog,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1996,1st Quintile,Urban regions,Yes,0.08659,72,908,0.06828,0.10489
1996,1st Quintile,Urban regions,No,0.91341,836,908,0.89511,0.93172
1996,1st Quintile,Rural regions,Yes,0.11225,67,503,0.08463,0.13986
1996,1st Quintile,Rural regions,No,0.88775,436,503,0.86014,0.91537
1996,2nd Quintile,Urban regions,Yes,0.08138,73,890,0.06341,0.09935
1996,2nd Quintile,Urban regions,No,0.91862,817,890,0.90065,0.93659
1996,2nd Quintile,Rural regions,Yes,0.15355,91,511,0.12226,0.18484
1996,2nd Quintile,Rural regions,No,0.84645,420,511,0.81516,0.87774
1996,3rd Quintile,Urban regions,Yes,0.11334,88,850,0.09202,0.13467
1996,3rd Quintile,Urban regions,No,0.88666,762,850,0.86533,0.90798
1996,3rd Quintile,Rural regions,Yes,0.15444,97,544,0.12404,0.18484
1996,3rd Quintile,Rural regions,No,0.84556,447,544,0.81516,0.87596
1996,4th Quintile,Urban regions,Yes,0.10543,93,906,0.08542,0.12543
1996,4th Quintile,Urban regions,No,0.89457,813,906,0.87457,0.91458
1996,4th Quintile,Rural regions,Yes,0.14619,65,392,0.11117,0.18121
1996,4th Quintile,Rural regions,No,0.85381,327,392,0.81879,0.88883
1996,5th Quintile,Urban regions,Yes,0.12154,105,850,0.09956,0.14352
1996,5th Quintile,Urban regions,No,0.87846,745,850,0.85648,0.90044
1996,5th Quintile,Rural regions,Yes,0.19261,52,272,0.14566,0.23956
1996,5th Quintile,Rural regions,No,0.80739,220,272,0.76044,0.85434
2001,1st Quintile,Urban regions,Yes,0.07965,120,1434,0.06564,0.09367
2001,1st Quintile,Urban regions,No,0.92035,1314,1434,0.90633,0.93436
2001,1st Quintile,Rural regions,Yes,0.14135,141,797,0.11715,0.16556
2001,1st Quintile,Rural regions,No,0.85865,656,797,0.83444,0.88285
2001,2nd Quintile,Urban regions,Yes,0.10499,170,1494,0.08944,0.12054
2001,2nd Quintile,Urban regions,No,0.89501,1324,1494,0.87946,0.91056
2001,2nd Quintile,Rural regions,Yes,0.16903,197,966,0.14539,0.19268
2001,2nd Quintile,Rural regions,No,0.83097,769,966,0.80732,0.85461
2001,3rd Quintile,Urban regions,Yes,0.11154,194,1555,0.09589,0.12719
2001,3rd Quintile,Urban regions,No,0.88846,1361,1555,0.87281,0.90411
2001,3rd Quintile,Rural regions,Yes,0.16677,179,881,0.14214,0.19140
2001,3rd Quintile,Rural regions,No,0.83323,702,881,0.80860,0.85786
2001,4th Quintile,Urban regions,Yes,0.10765,193,1615,0.09253,0.12277
2001,4th Quintile,Urban regions,No,0.89235,1422,1615,0.87723,0.90747
2001,4th Quintile,Rural regions,Yes,0.17585,145,754,0.14866,0.20304
2001,4th Quintile,Rural regions,No,0.82415,609,754,0.79696,0.85134
