year,bula_h,rentown,petyn,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1996,Schleswig-Holstein,Owner,Yes,0.38983,33,74,0.27795,0.50171
1996,Schleswig-Holstein,Owner,No,0.61017,41,74,0.49829,0.72205
1996,Schleswig-Holstein,Tenant,No,0.72425,49,49,0.59782,0.85067
1996,Hamburg,Tenant,No,0.78215,52,52,0.66886,0.89544
1996,Lower Saxony,Owner,Yes,0.38933,101,235,0.32685,0.45180
1996,Lower Saxony,Owner,No,0.61067,134,235,0.54820,0.67315
1996,Lower Saxony,Tenant,Yes,0.29923,97,296,0.24697,0.35149
1996,Lower Saxony,Tenant,No,0.70077,199,296,0.64851,0.75303
1996,North Rhine-Westphalia,Owner,Yes,0.35791,171,430,0.31255,0.40328
1996,North Rhine-Westphalia,Owner,No,0.64209,259,430,0.59672,0.68745
1996,North Rhine-Westphalia,Tenant,Yes,0.29869,249,859,0.26806,0.32931
1996,North Rhine-Westphalia,Tenant,No,0.70131,610,859,0.67069,0.73194
1996,Hesse,Owner,Yes,0.38162,63,157,0.30538,0.45785
1996,Hesse,Owner,No,0.61838,94,157,0.54215,0.69462
1996,Hesse,Tenant,Yes,0.24050,76,310,0.19285,0.28816
1996,Hesse,Tenant,No,0.75950,234,310,0.71184,0.80715
1996,"Rhineland-Palatinate, Saarland",Owner,Yes,0.43876,80,169,0.36372,0.51380
1996,"Rhineland-Palatinate, Saarland",Owner,No,0.56124,89,169,0.48620,0.63628
1996,"Rhineland-Palatinate, Saarland",Tenant,Yes,0.32941,61,178,0.26016,0.39865
1996,"Rhineland-Palatinate, Saarland",Tenant,No,0.67059,117,178,0.60135,0.73984
1996,Baden-Wuerttemberg,Owner,Yes,0.38331,132,342,0.33170,0.43491
1996,Baden-Wuerttemberg,Owner,No,0.61669,210,342,0.56509,0.66830
1996,Baden-Wuerttemberg,Tenant,Yes,0.25939,134,498,0.22085,0.29792
1996,Baden-Wuerttemberg,Tenant,No,0.74061,364,498,0.70208,0.77915
1996,Bavaria,Owner,Yes,0.40912,158,357,0.35805,0.46020
1996,Bavaria,Owner,No,0.59088,199,357,0.53980,0.64195
1996,Bavaria,Tenant,Yes,0.27062,148,504,0.23179,0.30945
1996,Bavaria,Tenant,No,0.72938,356,504,0.69055,0.76821
1996,Berlin,Tenant,Yes,0.34277,100,283,0.28737,0.39817
1996,Berlin,Tenant,No,0.65723,183,283,0.60183,0.71263
