year,sampreg,pet_bird,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1996,West,Yes,0.08758,468,4793,0.07958,0.09559
1996,West,No,0.91242,4325,4793,0.90441,0.92042
1996,East,Yes,0.10537,232,1838,0.09133,0.11941
1996,East,No,0.89463,1606,1838,0.88059,0.90867
2001,West,Yes,0.06406,603,8837,0.05896,0.06917
2001,West,No,0.93594,8234,8837,0.93083,0.94104
2001,East,Yes,0.09268,298,2843,0.08201,0.10334
2001,East,No,0.90732,2545,2843,0.89666,0.91799
2006,West,Yes,0.04617,443,9337,0.04191,0.05042
2006,West,No,0.95383,8894,9337,0.94958,0.95809
2006,East,Yes,0.07313,229,2928,0.06370,0.08257
2006,East,No,0.92687,2699,2928,0.91743,0.93630
2011,West,Yes,0.03502,331,9192,0.03126,0.03877
2011,West,No,0.96498,8861,9192,0.96123,0.96874
2011,East,Yes,0.05008,158,2892,0.04213,0.05803
2011,East,No,0.94992,2734,2892,0.94197,0.95787
2016,West,Yes,0.02427,307,11228,0.02142,0.02712
2016,West,No,0.97573,10921,11228,0.97288,0.97858
2016,East,Yes,0.04201,139,3074,0.03491,0.04910
2016,East,No,0.95799,2935,3074,0.95090,0.96509
2021,West,Yes,0.01863,184,8665,0.01579,0.02148
2021,West,No,0.98137,8481,8665,0.97852,0.98421
2021,East,Yes,0.02883,76,2391,0.02212,0.03553
2021,East,No,0.97117,2315,2391,0.96447,0.97788
