year,bula_h,sampreg,plh0036,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,Schleswig-Holstein,West,Very concerned,0.47903,187,355,0.42699,0.53107
1984,Schleswig-Holstein,West,Somewhat concerned,0.42497,168,355,0.37347,0.47646
1984,Hamburg,West,Very concerned,0.60959,182,306,0.55484,0.66434
1984,Hamburg,West,Somewhat concerned,0.30193,92,306,0.25040,0.35345
1984,Hamburg,West,Not concerned at all,0.08848,32,306,0.05661,0.12035
1984,Lower Saxony,West,Very concerned,0.50531,604,1218,0.47722,0.53340
1984,Lower Saxony,West,Somewhat concerned,0.42732,515,1218,0.39953,0.45512
1984,Lower Saxony,West,Not concerned at all,0.06736,99,1218,0.05328,0.08145
1984,Bremen,West,Very concerned,0.63373,84,84,0.53008,0.73738
1984,North Rhine-Westphalia,West,Very concerned,0.56459,1695,3197,0.54740,0.58178
1984,North Rhine-Westphalia,West,Somewhat concerned,0.36601,1206,3197,0.34931,0.38271
1984,North Rhine-Westphalia,West,Not concerned at all,0.06940,296,3197,0.06059,0.07821
1984,Hesse,West,Very concerned,0.52634,592,1232,0.49845,0.55424
1984,Hesse,West,Somewhat concerned,0.39375,492,1232,0.36646,0.42105
1984,Hesse,West,Not concerned at all,0.07990,148,1232,0.06476,0.09505
1984,"Rhineland-Palatinate, Saarland",West,Very concerned,0.47448,388,848,0.44085,0.50811
1984,"Rhineland-Palatinate, Saarland",West,Somewhat concerned,0.44620,394,848,0.41272,0.47968
1984,"Rhineland-Palatinate, Saarland",West,Not concerned at all,0.07932,66,848,0.06112,0.09752
1984,Baden-Wuerttemberg,West,Very concerned,0.50753,1029,2230,0.48678,0.52829
1984,Baden-Wuerttemberg,West,Somewhat concerned,0.38769,864,2230,0.36746,0.40792
1984,Baden-Wuerttemberg,West,Not concerned at all,0.10477,337,2230,0.09206,0.11749
1984,Bavaria,West,Very concerned,0.48663,987,2047,0.46497,0.50829
1984,Bavaria,West,Somewhat concerned,0.43012,866,2047,0.40867,0.45157
1984,Bavaria,West,Not concerned at all,0.08325,194,2047,0.07128,0.09522
1984,Berlin,West,Very concerned,0.55426,222,375,0.50388,0.60463
1984,Berlin,West,Somewhat concerned,0.39420,153,375,0.34467,0.44373
1985,Schleswig-Holstein,West,Very concerned,0.47519,161,319,0.42030,0.53008
1985,Schleswig-Holstein,West,Somewhat concerned,0.44119,158,319,0.38662,0.49577
