year,quintil_oecd_hh,sampreg,pet_cat,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1996,1st Quintile,West,Yes,0.10669,100,970,0.08725,0.12613
1996,1st Quintile,West,No,0.89331,870,970,0.87387,0.91275
1996,1st Quintile,East,Yes,0.15173,70,441,0.11821,0.18525
1996,1st Quintile,East,No,0.84827,371,441,0.81475,0.88179
1996,2nd Quintile,West,Yes,0.10525,102,903,0.08522,0.12527
1996,2nd Quintile,West,No,0.89475,801,903,0.87473,0.91478
1996,2nd Quintile,East,Yes,0.20261,100,498,0.16727,0.23795
1996,2nd Quintile,East,No,0.79739,398,498,0.76205,0.83273
1996,3rd Quintile,West,Yes,0.11626,111,948,0.09584,0.13667
1996,3rd Quintile,West,No,0.88374,837,948,0.86333,0.90416
1996,3rd Quintile,East,Yes,0.19029,96,446,0.15382,0.22677
1996,3rd Quintile,East,No,0.80971,350,446,0.77323,0.84618
1996,4th Quintile,West,Yes,0.15031,153,1005,0.12820,0.17242
1996,4th Quintile,West,No,0.84969,852,1005,0.82758,0.87180
1996,4th Quintile,East,Yes,0.20216,65,293,0.15609,0.24822
1996,4th Quintile,East,No,0.79784,228,293,0.75178,0.84391
1996,5th Quintile,West,Yes,0.11929,126,962,0.09880,0.13979
1996,5th Quintile,West,No,0.88071,836,962,0.86021,0.90120
1996,5th Quintile,East,No,0.89470,138,138,0.84331,0.94610
2001,1st Quintile,West,Yes,0.13992,225,1548,0.12264,0.15721
2001,1st Quintile,West,No,0.86008,1323,1548,0.84279,0.87736
2001,1st Quintile,East,Yes,0.18622,131,683,0.15700,0.21543
2001,1st Quintile,East,No,0.81378,552,683,0.78457,0.84300
2001,2nd Quintile,West,Yes,0.12969,246,1674,0.11359,0.14579
2001,2nd Quintile,West,No,0.87031,1428,1674,0.85421,0.88641
2001,2nd Quintile,East,Yes,0.21183,189,786,0.18325,0.24042
2001,2nd Quintile,East,No,0.78817,597,786,0.75958,0.81675
2001,3rd Quintile,West,Yes,0.13867,267,1763,0.12253,0.15481
